Plant Name,Generator ID,Technology,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Storage Technology 1,Nameplate Reactive Power Rating,Storage Enclosure Type,Arbitrage,Excess Wind and Solar Generation,time
Agua Fria,AFSB1,Batteries,100,25,25,LIB,25,OT,Y,,2022
Dynegy Moss Landing Power Plant Hybrid,BAT1,Batteries,1200,300,300,LIB,98.4,BL,Y,,2022
Palaau Power Hybrid,BAT1,Batteries,2,0.5,0.5,OTH,2,CS,,,2022
Harding Street,BAT1,Batteries,20,20,20,LIB,20,BL,,,2022
Castle Gap Solar Hybrid,BAT1,Batteries,42,9.9,9.9,LIB,4.8,CS,,Y,2022
Caldwell Wastewater Treatment Plant Hybrid,BAT1,Batteries,2,0.5,0.5,OTH,0.5,OT,,Y,2022
Hall Solar Energy Storage,BAT1,Batteries,5,2,2,LIB,5,CS,,Y,2022
Ludie Brown Solar Energy Storage,BAT1,Batteries,2.5,2,2,LIB,2.5,CS,,Y,2022
Lowe Solar Energy Storage,BAT1,Batteries,5,2,2,LIB,2.5,CS,,Y,2022
Spencer Meadow Solar Energy Storage,BAT1,Batteries,5,2,2,LIB,2.5,CS,,Y,2022
Old Cedar Solar Energy Storage,BAT1,Batteries,2,1,1,LIB,2,CS,N,Y,2022
Dynegy Moss Landing Power Plant Hybrid,BAT2,Batteries,400,100,100,LIB,32.8,BL,Y,,2022
El Centro Hybrid,BESS,Batteries,20,30,30,LIB,14.4,BL,N,,2022
William F Wyman Hybrid,BESS,Batteries,10.9,16.7,16.2,LIB,10.2,CS,,,2022
DeCordova Steam Electric Station,BESS,Batteries,263,263,263,LIB,137,CS,,,2022
Battery Energy Storage System,BESS,Batteries,11,4,40,NIB,46,BL,,,2022
Sierra Nevada Brewing Co Hybrid,BESS,Batteries,1,0.5,0.5,LIB,0.5,OT,,Y,2022
Prospect Storage,BESS,Batteries,10,9.9,9.9,LIB,3.3,CS,Y,,2022
East Pulaski BESS,BESS,Batteries,4.2,2,2,LIB,0.6,CS,,,2022
"Finchville Solar, LLC Hybrid CSG",BESS,Batteries,4.4,1.9,1.9,LIB,0.9,CT,,Y,2022
"RT 52 Walden Solar 1, LLC Hybrid",BESS,Batteries,8.8,3.9,3.9,LIB,0.9,CT,,Y,2022
"Cronin Road Solar 1, LLC CSG Hybrid",BESS,Batteries,7.7,1.5,1.5,LIB,0.9,CT,,Y,2022
Ryan Road Solar LLC Hybrid(CSG),BESS,Batteries,14,4.3,4.3,LIB,0.9,CT,,Y,2022
"AES Kekaha Solar, LLC Hybrid",BESS,Batteries,70,8,8,LIB,10,CT,,Y,2022
Taos Mesa Energy Facility Hybrid,BESS,Batteries,25,12,12,LIB,5,CS,,Y,2022
Amaterasu LLC,BESS,Batteries,6,3.2,3.2,LIB,0.9,CT,,Y,2022
"BWC Stony Brook, LLC Hybrid",BESS,Batteries,1.4,0.7,0.7,LIB,0.9,CT,,Y,2022
Glenmere Lake,BESS,Batteries,7.5,2,2,LIB,0.9,CT,,Y,2022
West Haydenville PJ Community Solar,BESS,Batteries,8,3,3,LIB,0.9,CT,,Y,2022
Brookwood Drive Community Solar,BESS,Batteries,8,3,3,LIB,0,OT,,Y,2022
Edwards Sanborn E3,BESS,Batteries,31.5,13.2,13.2,LIB,8.3,CS,Y,Y,2022
Edwards Sanborn E1A,BESS,Batteries,272,130,130,LIB,133.4,CS,Y,Y,2022
Edwards Sanborn E2,BESS,Batteries,250,122.8,122.8,LIB,122.8,CS,Y,Y,2022
Edwards Sanborn S3,BESS,Batteries,70,35.1,35.1,LIB,35.1,CS,Y,Y,2022
Edwards Sanborn S1,BESS,Batteries,83.5,42.1,42.1,LIB,42.1,CS,Y,Y,2022
South Goshen Community Solar,BESS,Batteries,17,4.5,4.5,LIB,5,OT,,Y,2022
Brookville Smart Bus Depot Microgrid,BESS,Batteries,4.3,1.5,1.5,LIB,1.5,CS,,Y,2022
McIntosh (AL),1,Natural Gas with Compressed Air Storage,110,52,110,,0.9,BL,,,2022
ESS Battery Microgrid,1,Batteries,3,3,3,LIB,3,CS,N,Y,2022
KCP&L SmartGrid Innovation Park,1,Batteries,1,1,1,LIB,1.3,CS,,,2022
Clinton Battery,1,Batteries,4.1,5,5,LIB,3.2,CS,,,2022
Rabbit Hill Energy Storage Project,1,Batteries,9.9,9.9,9.9,LIB,9.9,CS,,,2022
Cox Battery Energy Storage,1,Batteries,1.5,1.2,1,PBB,1.2,CS,,,2022
Fort Carson Battery Energy Storage System,1,Batteries,8.5,4.2,4.2,LIB,1.4,CS,,,2022
Gambit Energy Storage - Angleton Storage,1,Batteries,200,100,100,LIB,32.9,CS,Y,,2022
Wynwood Energy Storage,1,Batteries,40,10,10,LIB,0.5,BL,,,2022
SEPV Sierra,1,Batteries,3.4,6,6,LIB,6,CS,Y,Y,2022
Big Bend,BESS1,Batteries,26.1,12.6,12.6,LIB,10.1,CS,Y,Y,2022
VESI Pomona,BESS1,Batteries,20,20,20,LIB,20,BL,,,2022
Marshalltown Generating Station,BESS1,Batteries,0.6,0.3,0.3,LIB,0.1,CS,,Y,2022
RE Mustang LLC,BESS1,Batteries,75,75,75,LIB,75,CS,,Y,2022
RE Tranquillity,BESS1,Batteries,128,32,32,LIB,10.5,CS,,,2022
AES Warrior Run Energy Storage Project,BESS1,Batteries,5,5,5,LIB,5,BL,,,2022
RE Garland,BESS1,Batteries,176,44,44,LIB,14.5,CS,,,2022
Stanton Energy Reliability Center Hybrid,BESS1,Batteries,4.5,10,10,LIB,0,CS,,,2022
Eyak Service Center BESS,BESS1,Batteries,0.9,1,1,LIB,0.8,CS,,,2022
Tech Square Microgrid,BESS1,Batteries,0.4,0.2,0.2,LIB,0,BL,,,2022
Decorah Battery,BESS1,Batteries,2.9,2.5,2.5,LIB,2.5,CS,,Y,2022
Hudson - High Desert Hybrid,BESS1,Batteries,50,50,50,LIB,50,CS,,Y,2022
Portage Industrial Battery,BESS1,Batteries,10,5,5,LIB,5,CS,Y,,2022
Butler-Warner Generation Plant,11,Batteries,0.5,0.3,0.5,LIB,0.6,CS,,,2022
Dynegy Moss Landing Power Plant Hybrid,BAT1,Batteries,1200,300,300,LIB,98.4,BL,Y,,2022
Palaau Power Hybrid,BAT1,Batteries,2,0.5,0.5,OTH,2,CS,,,2022
Harding Street,BAT1,Batteries,20,20,20,LIB,20,BL,,,2022
Castle Gap Solar Hybrid,BAT1,Batteries,42,9.9,9.9,LIB,4.8,CS,,Y,2022
Caldwell Wastewater Treatment Plant Hybrid,BAT1,Batteries,2,0.5,0.5,OTH,0.5,OT,,Y,2022
Hall Solar Energy Storage,BAT1,Batteries,5,2,2,LIB,5,CS,,Y,2022
Ludie Brown Solar Energy Storage,BAT1,Batteries,2.5,2,2,LIB,2.5,CS,,Y,2022
Lowe Solar Energy Storage,BAT1,Batteries,5,2,2,LIB,2.5,CS,,Y,2022
Spencer Meadow Solar Energy Storage,BAT1,Batteries,5,2,2,LIB,2.5,CS,,Y,2022
Old Cedar Solar Energy Storage,BAT1,Batteries,2,1,1,LIB,2,CS,N,Y,2022
Butler-Warner Generation Plant,11,Batteries,0.5,0.3,0.5,LIB,0.6,CS,,,2022
Dynegy Moss Landing Power Plant Hybrid,BAT1,Batteries,1200,300,300,LIB,98.4,BL,Y,,2022
Palaau Power Hybrid,BAT1,Batteries,2,0.5,0.5,OTH,2,CS,,,2022
Harding Street,BAT1,Batteries,20,20,20,LIB,20,BL,,,2022
Castle Gap Solar Hybrid,BAT1,Batteries,42,9.9,9.9,LIB,4.8,CS,,Y,2022
Caldwell Wastewater Treatment Plant Hybrid,BAT1,Batteries,2,0.5,0.5,OTH,0.5,OT,,Y,2022
Hall Solar Energy Storage,BAT1,Batteries,5,2,2,LIB,5,CS,,Y,2022
Ludie Brown Solar Energy Storage,BAT1,Batteries,2.5,2,2,LIB,2.5,CS,,Y,2022
Lowe Solar Energy Storage,BAT1,Batteries,5,2,2,LIB,2.5,CS,,Y,2022
Spencer Meadow Solar Energy Storage,BAT1,Batteries,5,2,2,LIB,2.5,CS,,Y,2022
Old Cedar Solar Energy Storage,BAT1,Batteries,2,1,1,LIB,2,CS,N,Y,2022
Butler-Warner Generation Plant,11,Batteries,0.5,0.3,0.5,LIB,0.6,CS,,,2022
El Centro Hybrid,BESS,Batteries,20,30,30,LIB,14.4,BL,N,,2022
William F Wyman Hybrid,BESS,Batteries,10.9,16.7,16.2,LIB,10.2,CS,,,2022
DeCordova Steam Electric Station,BESS,Batteries,263,263,263,LIB,137,CS,,,2022
Battery Energy Storage System,BESS,Batteries,11,4,40,NIB,46,BL,,,2022
Sierra Nevada Brewing Co Hybrid,BESS,Batteries,1,0.5,0.5,LIB,0.5,OT,,Y,2022
Prospect Storage,BESS,Batteries,10,9.9,9.9,LIB,3.3,CS,Y,,2022
East Pulaski BESS,BESS,Batteries,4.2,2,2,LIB,0.6,CS,,,2022
"Finchville Solar, LLC Hybrid CSG",BESS,Batteries,4.4,1.9,1.9,LIB,0.9,CT,,Y,2022
"RT 52 Walden Solar 1, LLC Hybrid",BESS,Batteries,8.8,3.9,3.9,LIB,0.9,CT,,Y,2022
"Cronin Road Solar 1, LLC CSG Hybrid",BESS,Batteries,7.7,1.5,1.5,LIB,0.9,CT,,Y,2022
Ryan Road Solar LLC Hybrid(CSG),BESS,Batteries,14,4.3,4.3,LIB,0.9,CT,,Y,2022
"AES Kekaha Solar, LLC Hybrid",BESS,Batteries,70,8,8,LIB,10,CT,,Y,2022
Taos Mesa Energy Facility Hybrid,BESS,Batteries,25,12,12,LIB,5,CS,,Y,2022
Amaterasu LLC,BESS,Batteries,6,3.2,3.2,LIB,0.9,CT,,Y,2022
"BWC Stony Brook, LLC Hybrid",BESS,Batteries,1.4,0.7,0.7,LIB,0.9,CT,,Y,2022
Glenmere Lake,BESS,Batteries,7.5,2,2,LIB,0.9,CT,,Y,2022
West Haydenville PJ Community Solar,BESS,Batteries,8,3,3,LIB,0.9,CT,,Y,2022
Brookwood Drive Community Solar,BESS,Batteries,8,3,3,LIB,0,OT,,Y,2022
Edwards Sanborn E3,BESS,Batteries,31.5,13.2,13.2,LIB,8.3,CS,Y,Y,2022
Edwards Sanborn E1A,BESS,Batteries,272,130,130,LIB,133.4,CS,Y,Y,2022
Edwards Sanborn E2,BESS,Batteries,250,122.8,122.8,LIB,122.8,CS,Y,Y,2022
Edwards Sanborn S3,BESS,Batteries,70,35.1,35.1,LIB,35.1,CS,Y,Y,2022
Edwards Sanborn S1,BESS,Batteries,83.5,42.1,42.1,LIB,42.1,CS,Y,Y,2022
South Goshen Community Solar,BESS,Batteries,17,4.5,4.5,LIB,5,OT,,Y,2022
Brookville Smart Bus Depot Microgrid,BESS,Batteries,4.3,1.5,1.5,LIB,1.5,CS,,Y,2022
Nantucket Hybrid,20,Batteries,48,6,6,LIB,7,BL,,,2022
Cleary Flood Hybrid,BS1,Batteries,6,3,3,LIB,3,CS,Y,,2022
University of California San Diego Hybrid,BS1,Batteries,5,2.5,2.5,LIB,2.5,CS,,,2022
Butler-Warner Generation Plant,11,Batteries,0.5,0.3,0.5,LIB,0.6,CS,,,2022
Walter C Beckjord,BECK1,Batteries,1,2,2,OTH,2,CS,,,2022
Walter C Beckjord,BECK2,Batteries,0.8,2,2,OTH,2,CS,,,2022
Kotzebue Hybrid,ES1,Batteries,1,1.2,1.2,LIB,1.2,CT,,Y,2022
Knoxville Battery Energy Storage,ES1,Batteries,4,1.1,1.1,LIB,1.1,CS,Y,,2022
Nabb Battery Energy Storage System,ES1,Batteries,5,5,5,LIB,5,CS,,,2022
Asheville-Rock Hill Battery,ES1,Batteries,8.8,8.8,8.8,LIB,8.8,CS,Y,,2022
Camp Atterbury Microgrid Hybrid,ES1,Batteries,5,5,5,FLB,3.3,BL,,Y,2022
Trenton,ES1,Batteries,10.1,11,11,LIB,1.7,CS,,,2022
Cape San Blas,ES1,Batteries,14.3,5.5,5.5,LIB,0,CS,,,2022
Jennings Energy Storage Facility,ES1,Batteries,5.5,5.5,5.5,LIB,0,CS,,,2022
Micanopy Energy Storage Facility,ES1,Batteries,11.7,8.3,8.3,LIB,0,CS,,,2022
Crane Battery Energy Storage System,ES1,Batteries,5,5,5,LIB,5,CS,,,2022
Hot Springs Energy Storage & Microgrid,ES1,Batteries,4.4,4.4,4.4,LIB,3,CS,,Y,2022
Ocracoke Hybrid,BAT,Batteries,1,0.5,0.5,LIB,0.5,CS,Y,,2022
Dubois Solar (Hybrid),BAT,Batteries,4.4,2,2,LIB,0,CS,,Y,2022
Landau II Solar (Hybrid),BAT,Batteries,8.8,4,4,LIB,0,CS,,Y,2022
Salt Point Solar (Hybrid),BAT,Batteries,4.4,2,2,LIB,0,CS,,Y,2022
Svenski Solar (Hybrid),BAT,Batteries,4.4,2,2,LIB,0,CS,,Y,2022
Pebbly Beach Generating Station Hybrid,NASB1,Batteries,6.8,1,1,NAB,0.8,CS,,,2022
McIntosh (AL),1,Natural Gas with Compressed Air Storage,110,52,110,,0.9,BL,,,2022
