Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Sector Name,Sector,time
63560,"TDX Sand Point Generating, LLC",1.0,Sand Point,AK,Aleutians East,1,Petroleum Liquids,IC,,S,0.9,0.8,0.4,0.4,0.4,SB,Y,12.0,2000.0,IPP Non-CHP,2.0,2020
63560,"TDX Sand Point Generating, LLC",1.0,Sand Point,AK,Aleutians East,2,Petroleum Liquids,IC,,S,0.9,0.8,0.3,0.3,0.3,OP,X,12.0,2000.0,IPP Non-CHP,2.0,2020
63560,"TDX Sand Point Generating, LLC",1.0,Sand Point,AK,Aleutians East,3,Petroleum Liquids,IC,,S,0.5,0.8,0.3,0.3,0.3,OP,X,12.0,2010.0,IPP Non-CHP,2.0,2020
63560,"TDX Sand Point Generating, LLC",1.0,Sand Point,AK,Aleutians East,5,Petroleum Liquids,IC,,S,0.7,0.8,0.4,0.3,0.3,OA,X,12.0,2000.0,IPP Non-CHP,2.0,2020
63560,"TDX Sand Point Generating, LLC",1.0,Sand Point,AK,Aleutians East,WT1,Onshore Wind Turbine,WT,,S,0.5,0.89,0.1,0.1,0.1,OA,X,10.0,2011.0,IPP Non-CHP,2.0,2020
63560,"TDX Sand Point Generating, LLC",1.0,Sand Point,AK,Aleutians East,WT2,Onshore Wind Turbine,WT,,S,0.5,0.89,0.3,0.3,0.3,OA,X,10.0,2011.0,IPP Non-CHP,2.0,2020
195,Alabama Power Co,2.0,Bankhead Dam,AL,Tuscaloosa,1,Conventional Hydroelectric,HY,,S,53.9,0.92,53,53,52,OP,X,7.0,1963.0,Electric Utility,1.0,2020
195,Alabama Power Co,3.0,Barry,AL,Mobile,1,Natural Gas Steam Turbine,ST,,S,153.1,0.85,80,80,55,OP,X,2.0,1954.0,Electric Utility,1.0,2020
195,Alabama Power Co,3.0,Barry,AL,Mobile,2,Natural Gas Steam Turbine,ST,,S,153.1,0.85,80,80,55,OP,X,7.0,1954.0,Electric Utility,1.0,2020
195,Alabama Power Co,3.0,Barry,AL,Mobile,4,Conventional Steam Coal,ST,,S,403.7,0.85,362,362,200,OP,X,12.0,1969.0,Electric Utility,1.0,2020
195,Alabama Power Co,3.0,Barry,AL,Mobile,5,Conventional Steam Coal,ST,,S,788.8,0.85,756.5,756.5,465,OP,X,10.0,1971.0,Electric Utility,1.0,2020
195,Alabama Power Co,3.0,Barry,AL,Mobile,A1CT,Natural Gas Fired Combined Cycle,CT,G521,S,170.1,0.85,175.6,184.5,104,OP,X,5.0,2000.0,Electric Utility,1.0,2020
195,Alabama Power Co,3.0,Barry,AL,Mobile,A1CT2,Natural Gas Fired Combined Cycle,CT,G521,S,170.1,0.85,175.6,184.5,104,OP,X,5.0,2000.0,Electric Utility,1.0,2020
195,Alabama Power Co,3.0,Barry,AL,Mobile,A1ST,Natural Gas Fired Combined Cycle,CA,G521,S,195.2,0.85,200,200,141,OP,X,5.0,2000.0,Electric Utility,1.0,2020
195,Alabama Power Co,3.0,Barry,AL,Mobile,A2C1,Natural Gas Fired Combined Cycle,CT,G522,S,170.1,0.85,185,191.6,79,OP,X,5.0,2000.0,Electric Utility,1.0,2020
195,Alabama Power Co,3.0,Barry,AL,Mobile,A2C2,Natural Gas Fired Combined Cycle,CT,G522,S,170.1,0.85,185,191.6,87,OP,X,5.0,2000.0,Electric Utility,1.0,2020
195,Alabama Power Co,3.0,Barry,AL,Mobile,A2ST,Natural Gas Fired Combined Cycle,CA,G522,S,195.2,0.85,200,200,131,OP,X,5.0,2000.0,Electric Utility,1.0,2020
