Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Sector Name,Sector,time
63560,"TDX Sand Point Generating, LLC",1.0,Sand Point,AK,Aleutians East,1,Petroleum Liquids,IC,,S,0.9,0.8,0.4,0.4,0.4,SB,Y,12.0,2000.0,Electric Utility,1.0,2022
63560,"TDX Sand Point Generating, LLC",1.0,Sand Point,AK,Aleutians East,2,Petroleum Liquids,IC,,S,0.9,0.8,0.3,0.3,0.3,OP,X,12.0,2000.0,Electric Utility,1.0,2022
63560,"TDX Sand Point Generating, LLC",1.0,Sand Point,AK,Aleutians East,3,Petroleum Liquids,IC,,S,0.5,0.8,0.3,0.3,0.3,OP,X,12.0,2010.0,Electric Utility,1.0,2022
63560,"TDX Sand Point Generating, LLC",1.0,Sand Point,AK,Aleutians East,5,Petroleum Liquids,IC,,S,0.7,0.8,0.4,0.3,0.3,OS,X,12.0,2000.0,Electric Utility,1.0,2022
63560,"TDX Sand Point Generating, LLC",1.0,Sand Point,AK,Aleutians East,WT1,Onshore Wind Turbine,WT,,S,0.5,0.89,0.1,0.1,0.1,OS,X,10.0,2011.0,Electric Utility,1.0,2022
63560,"TDX Sand Point Generating, LLC",1.0,Sand Point,AK,Aleutians East,WT2,Onshore Wind Turbine,WT,,S,0.5,0.89,0.3,0.3,0.3,OS,X,10.0,2011.0,Electric Utility,1.0,2022
195,Alabama Power Co,2.0,Bankhead Dam,AL,Tuscaloosa,1,Conventional Hydroelectric,HY,,S,53.9,0.92,53,53,52,OP,X,7.0,1963.0,Electric Utility,1.0,2022
195,Alabama Power Co,3.0,Barry,AL,Mobile,1,Natural Gas Steam Turbine,ST,,S,153.1,0.85,80,80,55,OP,X,2.0,1954.0,Electric Utility,1.0,2022
195,Alabama Power Co,3.0,Barry,AL,Mobile,2,Natural Gas Steam Turbine,ST,,S,153.1,0.85,80,80,55,OP,X,7.0,1954.0,Electric Utility,1.0,2022
195,Alabama Power Co,3.0,Barry,AL,Mobile,4,Conventional Steam Coal,ST,,S,403.7,0.85,362,362,200,OP,X,12.0,1969.0,Electric Utility,1.0,2022
195,Alabama Power Co,3.0,Barry,AL,Mobile,5,Conventional Steam Coal,ST,,S,788.8,0.85,756.5,756.5,465,OP,X,10.0,1971.0,Electric Utility,1.0,2022
195,Alabama Power Co,3.0,Barry,AL,Mobile,A1CT,Natural Gas Fired Combined Cycle,CT,G521,S,170.1,0.85,184.4,194.5,90,OP,X,5.0,2000.0,Electric Utility,1.0,2022
195,Alabama Power Co,3.0,Barry,AL,Mobile,A1CT2,Natural Gas Fired Combined Cycle,CT,G521,S,170.1,0.85,184.4,194.5,90,OP,X,5.0,2000.0,Electric Utility,1.0,2022
195,Alabama Power Co,3.0,Barry,AL,Mobile,A1ST,Natural Gas Fired Combined Cycle,CA,G521,S,195.2,0.85,200,205,136,OP,X,5.0,2000.0,Electric Utility,1.0,2022
195,Alabama Power Co,3.0,Barry,AL,Mobile,A2C1,Natural Gas Fired Combined Cycle,CT,G522,S,170.1,0.85,186.2,190,86,OP,X,5.0,2000.0,Electric Utility,1.0,2022
195,Alabama Power Co,3.0,Barry,AL,Mobile,A2C2,Natural Gas Fired Combined Cycle,CT,G522,S,170.1,0.85,186.2,190,86,OP,X,5.0,2000.0,Electric Utility,1.0,2022
195,Alabama Power Co,3.0,Barry,AL,Mobile,A2ST,Natural Gas Fired Combined Cycle,CA,G522,S,195.2,0.85,195,200,128,OP,X,5.0,2000.0,Electric Utility,1.0,2022
195,Alabama Power Co,4.0,Walter Bouldin Dam,AL,Elmore,1,Conventional Hydroelectric,HY,,S,75.0,0.857,74.7,74.7,74,OP,X,7.0,1967.0,Electric Utility,1.0,2022
195,Alabama Power Co,4.0,Walter Bouldin Dam,AL,Elmore,2,Conventional Hydroelectric,HY,,S,75.0,0.857,74.7,74.7,74,OP,X,8.0,1967.0,Electric Utility,1.0,2022
195,Alabama Power Co,4.0,Walter Bouldin Dam,AL,Elmore,3,Conventional Hydroelectric,HY,,S,75.0,0.857,74.7,74.7,74,OP,X,8.0,1967.0,Electric Utility,1.0,2022
195,Alabama Power Co,7.0,Gadsden,AL,Etowah,1,Natural Gas Steam Turbine,ST,,S,69.0,0.85,64,64,28,OP,X,4.0,1949.0,Electric Utility,1.0,2022
195,Alabama Power Co,7.0,Gadsden,AL,Etowah,2,Natural Gas Steam Turbine,ST,,S,69.0,0.85,66,66,28,OP,X,7.0,1949.0,Electric Utility,1.0,2022
5701,El Paso Electric Co,9.0,Copper,TX,El Paso,1,Natural Gas Fired Combustion Turbine,GT,,S,86.9,0.9,63,65,3,OP,X,7.0,1980.0,Electric Utility,1.0,2022
195,Alabama Power Co,10.0,Greene County,AL,Greene,1,Natural Gas Steam Turbine,ST,,J,299.2,0.85,257.8,257.8,110,OP,X,6.0,1965.0,Electric Utility,1.0,2022
195,Alabama Power Co,10.0,Greene County,AL,Greene,2,Natural Gas Steam Turbine,ST,,J,269.2,0.85,258.3,258.3,110,OP,X,7.0,1966.0,Electric Utility,1.0,2022
195,Alabama Power Co,10.0,Greene County,AL,Greene,GT10,Natural Gas Fired Combustion Turbine,GT,,S,80.0,0.85,85,101,66,OP,X,5.0,1996.0,Electric Utility,1.0,2022
195,Alabama Power Co,10.0,Greene County,AL,Greene,GT2,Natural Gas Fired Combustion Turbine,GT,,S,80.0,0.85,84,100,66,OP,X,5.0,1996.0,Electric Utility,1.0,2022
195,Alabama Power Co,10.0,Greene County,AL,Greene,GT3,Natural Gas Fired Combustion Turbine,GT,,S,80.0,0.85,82,98,66,OP,X,5.0,1995.0,Electric Utility,1.0,2022
