Utility ID,Generator ID,Owner City,Owner State,Owner Zip,Ownership ID,Percent Owned,time
195,1,Birmingham,AL,35291,195,0.6,2021
195,1,Gulfport,MS,39501,12686,0.4,2021
195,2,Birmingham,AL,35291,195,0.6,2021
195,2,Gulfport,MS,39501,12686,0.4,2021
195,1,Birmingham,AL,35291,195,0.5,2021
195,1,Atlanta,GA,30302,7140,0.5,2021
195,2,Birmingham,AL,35291,195,0.5,2021
195,2,Atlanta,GA,30302,7140,0.5,2021
195,3,Birmingham,AL,35291,195,0.5,2021
195,3,Atlanta,GA,30302,7140,0.5,2021
195,GT4,Birmingham,AL,35291,195,0.5,2021
195,GT4,Atlanta,GA,30302,7140,0.5,2021
195,ST4,Birmingham,AL,35291,195,0.5,2021
195,ST4,Atlanta,GA,30302,7140,0.5,2021
3265,1,Pineville,LA,71361,3265,0.5,2021
3265,1,Longview,TX,75604,13670,0.0586,2021
3265,1,Edmond,OK,73083,14077,0.039,2021
3265,1,Tulsa,OK,74119,17698,0.4024,2021
8245,2,Hastings,NE,68902,8245,0.1591,2021
8245,2,Nebraska City,NE,68410,13334,0.0455,2021
8245,2,Lincoln,NE,68512,21352,0.3636,2021
8245,2,Madison,SD,57042,40604,0.3636,2021
8245,2,Grand Island,NE,68802,40606,0.0682,2021
3522,1,Anchorage,AK,99501,599,0.533,2021
3522,1,Anchorage,AK,99519,3522,0.3,2021
3522,1,Palmer,AK,99645,11824,0.167,2021
3522,2,Anchorage,AK,99501,599,0.533,2021
3522,2,Anchorage,AK,99519,3522,0.3,2021
3522,2,Palmer,AK,99645,11824,0.167,2021
213,1,Anchorage,AK,99503,253,1,2021
213,2,Anchorage,AK,99503,253,1,2021
213,3,Anchorage,AK,99503,253,1,2021
803,4,Portland,OR,97232,14354,1,2021
803,GT21,Imperial,CA,92251,9216,1,2021
803,ST1,Imperial,CA,92251,9216,1,2021
814,2,Little Rock,AR,72201,25251,1,2021
9617,1,Jacksonville,FL,32202,9617,1,2021
9617,2,Miami,FL,33102,6452,0.2,2021
9617,2,Jacksonville,FL,32202,9617,0.8,2021
20893,1,Topeka,KS,66615,9961,0.06,2021
20893,1,Kansas City,MO,64105,10000,0.94,2021
54802,BAT3,Moss Landing,CA,95039,64803,1,2021
13584,1,Princenton,NJ,8540,13377,1,2021
13584,2,Princenton,NJ,8540,13377,1,2021
13584,3,Princenton,NJ,8540,13377,1,2021
13584,4,Princenton,NJ,8540,13377,1,2021
23693,3,Rosemead,CA,91770,34505,1,2021
23693,4,Rosemead,CA,91770,34505,1,2021
11181,CT1,Boston,MA,2116,65022,1,2021
11181,CT2,Boston,MA,2116,65022,1,2021
11181,CT3,Boston,MA,2116,65022,1,2021
11181,CT4,Boston,MA,2116,65022,1,2021
