Utility ID,Utility Name,Plant Code,Plant Name,State,Zip,County,Latitude,Longitude,NERC Region,Sector,Sector Name,FERC Cogeneration Status,FERC Cogeneration Docket Number,FERC Small Power Producer Status,FERC Small Power Producer Docket Number,FERC Exempt Wholesale Generator Status,FERC Exempt Wholesale Generator Docket Number,time
63560,"TDX Sand Point Generating, LLC",1,Sand Point,AK,99661,Aleutians East,55.339722,-160.497222,,1,Electric Utility,N,,N,,N,,2021
195,Alabama Power Co,2,Bankhead Dam,AL,35476,Tuscaloosa,33.458665,-87.356823,SERC,1,Electric Utility,N,,N,,N,,2021
195,Alabama Power Co,3,Barry,AL,36512,Mobile,31.0069,-88.0103,SERC,1,Electric Utility,N,,N,,N,,2021
195,Alabama Power Co,4,Walter Bouldin Dam,AL,36092,Elmore,32.583889,-86.283056,SERC,1,Electric Utility,N,,N,,N,,2021
195,Alabama Power Co,7,Gadsden,AL,35903,Etowah,34.0128,-85.9708,SERC,1,Electric Utility,N,,N,,N,,2021
195,Alabama Power Co,8,Gorgas,AL,35580,Walker,33.644344,-87.196486,SERC,1,Electric Utility,N,,N,,N,,2021
5701,El Paso Electric Co,9,Copper,TX,79915,El Paso,31.7569,-106.375,WECC,1,Electric Utility,N,,N,,N,,2021
195,Alabama Power Co,10,Greene County,AL,36732,Greene,32.6017,-87.7811,SERC,1,Electric Utility,N,,N,,N,,2021
195,Alabama Power Co,11,H Neely Henry Dam,AL,36271,Calhoun,33.7845,-86.0524,SERC,1,Electric Utility,N,,N,,N,,2021
195,Alabama Power Co,12,Holt Dam,AL,35476,Tuscaloosa,33.2553,-87.4495,SERC,1,Electric Utility,N,,N,,N,,2021
195,Alabama Power Co,13,Jordan Dam,AL,36092,Elmore,32.6189,-86.2548,SERC,1,Electric Utility,N,,N,,N,,2021
195,Alabama Power Co,14,Logan Martin Dam,AL,35178,Talladega,33.425878,-86.337547,SERC,1,Electric Utility,N,,N,,N,,2021
195,Alabama Power Co,15,Lay Dam,AL,35045,Chilton,32.9633,-86.5187,SERC,1,Electric Utility,N,,N,,N,,2021
195,Alabama Power Co,16,Martin Dam,AL,36078,Elmore,32.680394,-85.911442,SERC,1,Electric Utility,N,,N,,N,,2021
195,Alabama Power Co,17,Mitchell Dam,AL,36091,Coosa,32.806025,-86.444892,SERC,1,Electric Utility,N,,N,,N,,2021
195,Alabama Power Co,18,Lewis Smith Dam,AL,35501,Walker,33.9406,-87.1077,SERC,1,Electric Utility,N,,N,,N,,2021
195,Alabama Power Co,19,Thurlow Dam,AL,36078,Elmore,32.535436,-85.887614,SERC,1,Electric Utility,N,,N,,N,,2021
195,Alabama Power Co,20,Weiss Dam,AL,35983,Cherokee,34.172142,-85.753806,SERC,1,Electric Utility,N,,N,,N,,2021
195,Alabama Power Co,21,Yates Dam,AL,36078,Elmore,32.5743,-85.8901,SERC,1,Electric Utility,N,,N,,N,,2021
195,Alabama Power Co,26,E C Gaston,AL,35186,Shelby,33.244211,-86.458056,SERC,1,Electric Utility,N,,N,,N,,2021
29305,City of Madelia - (MN),30,Madelia,MN,56062,Watonwan,44.0501,-94.4178,MRO,1,Electric Utility,N,,N,,N,,2021
13402,Nevada Irrigation District,34,Rollins,CA,95713,Placer,39.134259,-120.953341,WECC,2,IPP Non-CHP,N,,N,,N,,2021
27813,USCE-Mobile District,38,Millers Ferry,AL,36726,Wilcox,32.100881,-87.399767,SERC,1,Electric Utility,N,,N,,N,,2021
