Utility ID,Utility Name,Street Address,City,State,Zip,Entity Type,time
7,"Primary Products Ingredients Americas, LLC",2200 East Eldorado Street,Decatur,IL,62525,IND,2022
8,Tate & Lyle Ingredients Americas Inc,2245 Sagamore Parkway North,Lafayette,IN,47904,IND,2022
25,Greenidge Generation Holdings LLC,PO Box 187590 Plant Rd,Dresden,NY,14441,Q,2022
34,City of Abbeville - (SC),P O Box 639,Abbeville,SC,29620,M,2022
35,AES WR Ltd Partnership,11600 Mexico Farms Road,Cumberland,MD,21502,Q,2022
84,A & N Electric Coop,PO Box 29021275 Cooperative Wa,Tasley,VA,23441,C,2022
88,Granite Ridge Energy LLC,21 North Wentworth Ave,Londonderry,NH,3053,Q,2022
135,Agrilectric Power Partners Ltd,"3063 Hwy, 397 South",Lake Charles,LA,90615,Q,2022
150,Adrian Public Utilities Comm,P O Box 187,Adrian,MN,56110,M,2022
164,AERA Energy LLC,P O Box 11164,Bakersfield,CA,93389,IND,2022
177,AES Hawaii LLC,91-086 Kaomi Loop,Kapolei,HI,96707,I,2022
178,CES Placerita Inc,20885 Placerita Canyon Rd,Newhall,CA,91321,Q,2022
179,Agrium US Inc,Suite 17004582 South Ulster St,Denver,CO,80237,IND,2022
189,PowerSouth Energy Cooperative,2027 E Three Notch St,Andalusia,AL,36421,C,2022
194,Albuquerque City of,4201 Second Street SW,Albuquerque,NM,87105,P,2022
195,Alabama Power Co,600 North 18th Street,Birmingham,AL,35291,I,2022
213,Alaska Electric Light & Power Co.,5601 Tonsgard Court,Juneau,AK,99801,I,2022
219,Alaska Power and Telephone Co,PO Box 3222,Pt. Townsend,WA,98368,I,2022
221,"Alaska Village Elec Coop, Inc",4831 Eagle Street,Anchorage,AK,99503,C,2022
222,City of Akron,2460 Akron Peninsula Rd,Akron,OH,44313,M,2022
241,Albertville Municipal Utilities Board,P O Box 130,Albertville,AL,35950,M,2022
261,AGC Division of APGI Inc,201 Isabella Street 6NE17,Pittsburgh,PA,15212,I,2022
291,Algonquin Windsor Locks LLC,26 Canal Bank,Windsor Locks,CT,6096,Q,2022
295,City of Alexandria - (MN),316 Fillmore Street,Alexandria,MN,56308,M,2022
298,City of Alexandria - (LA),1011 North Third Street,Alexandria,LA,71309,M,2022
306,Brookfield Smoky Mountain Hydropower LP,200 Donald Lynch Blvd,Marlborough,MA,1752,Q,2022
309,City of Algona - (IA),PO Box 10104 West Call Street,Algona,IA,50511,M,2022
313,"Wolf Hollow I Power, LLC",9201 Wolf Hollow Court,Granbury,TX,76048,Q,2022
327,Air Liquide Large Industries U S LP,11777 Bay Area Blvd,Pasadena,TX,77507,IND,2022
332,Allegheny Electric Coop Inc,P O Box 1266212 Locust Street,Harrisburg,PA,17108,C,2022
361,Industrial Energy Applications Inc,"2050 Boyson Road, Suite 100",Hiawatha,IA,52233,Q,2022
405,City of Alta - (IA),223 Main Street,Alta,IA,51002,M,2022
406,City of Altamont - (IL),202 North Second Street,Altamont,IL,62411,M,2022
429,Occidental Permian Ltd,"5 Greenway Plaza, Suite 110",Houston,TX,77046,IND,2022
