Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Sector Name,Sector,time
63560,"TDX Sand Point Generating, LLC",1.0,Sand Point,AK,Aleutians East,WT1,Onshore Wind Turbine,WT,,S,0.5,0.89,0.1,0.1,0.1,OS,X,10.0,2011.0,Electric Utility,1.0,2022
63560,"TDX Sand Point Generating, LLC",1.0,Sand Point,AK,Aleutians East,WT2,Onshore Wind Turbine,WT,,S,0.5,0.89,0.3,0.3,0.3,OS,X,10.0,2011.0,Electric Utility,1.0,2022
13642,Nome Joint Utility Systems,90.0,Snake River,AK,Nome,EWT 1,Onshore Wind Turbine,WT,,S,0.9, ,0.9,0.9,0.1,OP,X,7.0,2013.0,Electric Utility,1.0,2022
13642,Nome Joint Utility Systems,90.0,Snake River,AK,Nome,EWT 2,Onshore Wind Turbine,WT,,S,0.9, ,0.9,0.9,0.1,OP,X,7.0,2013.0,Electric Utility,1.0,2022
16572,Salt River Project,141.0,Agua Fria,AZ,Maricopa,AFSB1,Batteries,BA,,S,25.0, ,25,25,25,OP,X,9.0,2021.0,Electric Utility,1.0,2022
16572,Salt River Project,141.0,Agua Fria,AZ,Maricopa,PV-3,Solar Photovoltaic,PV,,S,0.2, ,0.2,0.2, ,OS,X,6.0,2001.0,Electric Utility,1.0,2022
54802,Dynegy -Moss Landing LLC,260.0,Dynegy Moss Landing Power Plant Hybrid,CA,Monterey,BAT1,Batteries,BA,,S,300.0, ,300,300,0.2,OP,X,5.0,2021.0,IPP Non-CHP,2.0,2022
54802,Dynegy -Moss Landing LLC,260.0,Dynegy Moss Landing Power Plant Hybrid,CA,Monterey,BAT2,Batteries,BA,,S,100.0, ,100,100,0.2,OP,X,5.0,2021.0,IPP Non-CHP,2.0,2022
9216,Imperial Irrigation District,389.0,El Centro Hybrid,CA,Imperial,BESS,Batteries,BA,,S,30.0, ,18.9,29,0,OP,X,10.0,2016.0,Electric Utility,1.0,2022
10633,City of Lamar - (CO),508.0,Lamar Plant,CO,Prowers,T1-T3,Onshore Wind Turbine,WT,,S,4.5, ,4,4,1,OP,X,2.0,2004.0,Electric Utility,1.0,2022
10633,City of Lamar - (CO),508.0,Lamar Plant,CO,Prowers,T4,Onshore Wind Turbine,WT,,W,1.5, ,1.5,1.5,1,OP,X,2.0,2004.0,Electric Utility,1.0,2022
