Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Sector Name,Sector,time
63560,"TDX Sand Point Generating, LLC",1.0,Sand Point,AK,Aleutians East,WT1,Onshore Wind Turbine,WT,,S,0.5,0.89,0.1,0.1,0.1,OA,X,10.0,2011.0,IPP Non-CHP,2.0,2020
63560,"TDX Sand Point Generating, LLC",1.0,Sand Point,AK,Aleutians East,WT2,Onshore Wind Turbine,WT,,S,0.5,0.89,0.3,0.3,0.3,OA,X,10.0,2011.0,IPP Non-CHP,2.0,2020
13642,Nome Joint Utility Systems,90.0,Snake River,AK,Nome,ENT,Onshore Wind Turbine,WT,,S,0.8, ,0.8,0.8,0.1,OP,X,1.0,2015.0,Electric Utility,1.0,2020
13642,Nome Joint Utility Systems,90.0,Snake River,AK,Nome,EWT 1,Onshore Wind Turbine,WT,,S,0.9, ,0.9,0.9,0.1,OP,X,7.0,2013.0,Electric Utility,1.0,2020
13642,Nome Joint Utility Systems,90.0,Snake River,AK,Nome,EWT 2,Onshore Wind Turbine,WT,,S,0.9, ,0.9,0.9,0.1,OP,X,7.0,2013.0,Electric Utility,1.0,2020
16572,Salt River Project,141.0,Agua Fria,AZ,Maricopa,PV-3,Solar Photovoltaic,PV,,S,0.2, ,0.2,0.2, ,OA,X,6.0,2001.0,Electric Utility,1.0,2020
9216,Imperial Irrigation District,389.0,El Centro Hybrid,CA,Imperial,BESS,Batteries,BA,,S,30.0, ,18.9,29,0,OP,X,10.0,2016.0,Electric Utility,1.0,2020
10633,City of Lamar - (CO),508.0,Lamar Plant,CO,Prowers,T1-T3,Onshore Wind Turbine,WT,,S,4.5, ,4,4,1,OP,X,2.0,2004.0,Electric Utility,1.0,2020
10633,City of Lamar - (CO),508.0,Lamar Plant,CO,Prowers,T4,Onshore Wind Turbine,WT,,W,1.5, ,1.5,1.5,1,OP,X,2.0,2004.0,Electric Utility,1.0,2020
18454,Tampa Electric Co,645.0,Big Bend,FL,Hillsborough,1,Solar Photovoltaic,PV,,S,19.8, ,19.8,19.8, ,OP,X,2.0,2017.0,Electric Utility,1.0,2020
62042,SRIV Partnership LLC,692.0,Medicine Bow,WY,Carbon,10,Onshore Wind Turbine,WT,,S,4.9, ,4.9,4.9,0,OP,X,7.0,2000.0,IPP Non-CHP,2.0,2020
62042,SRIV Partnership LLC,692.0,Medicine Bow,WY,Carbon,11,Onshore Wind Turbine,WT,,S,1.3, ,1.3,1.3,0,OP,X,7.0,2000.0,IPP Non-CHP,2.0,2020
11843,Maui Electric Co Ltd,792.0,Palaau Power Hybrid,HI,Maui,BAT1,Batteries,BA,,S,2.0, ,2,2,0,OP,X,5.0,2017.0,Electric Utility,1.0,2020
7095,City of Geneseo - (IL),944.0,Geneseo,IL,Henry,10,Onshore Wind Turbine,WT,,S,1.5, ,1.5,1.5,0,OP,X,9.0,2009.0,Electric Utility,1.0,2020
7095,City of Geneseo - (IL),944.0,Geneseo,IL,Henry,11,Onshore Wind Turbine,WT,,S,1.5, ,1.5,1.5,0,OP,X,10.0,2009.0,Electric Utility,1.0,2020
7095,City of Geneseo - (IL),944.0,Geneseo,IL,Henry,12,Solar Photovoltaic,PV,,S,1.2, ,0.9,0.9, ,OP,X,8.0,2015.0,Electric Utility,1.0,2020
16179,Rochelle Municipal Utilities,960.0,North Ninth Street,IL,Ogle,SOL1,Solar Photovoltaic,PV,,S,0.3, ,0.3,0.3, ,OP,X,11.0,2014.0,Electric Utility,1.0,2020
9273,Indianapolis Power & Light Co,990.0,Harding Street,IN,Marion,BAT1,Batteries,BA,,S,20.0, ,20,20,0.1,OP,X,6.0,2016.0,Electric Utility,1.0,2020
14201,City of Osage - (IA),1172.0,Osage (IA),IA,Mitchell,SO,Solar Photovoltaic,PV,,S,0.8, ,0.8,0.1, ,OP,X,11.0,2016.0,Electric Utility,1.0,2020
14201,City of Osage - (IA),1172.0,Osage (IA),IA,Mitchell,W1,Onshore Wind Turbine,WT,,S,1.6, ,0.5,0.5,0.5,OP,X,12.0,2009.0,Electric Utility,1.0,2020
10171,Kentucky Utilities Co,1355.0,E W Brown,KY,Mercer,SOLAR,Solar Photovoltaic,PV,,J,13.0, ,10,10, ,OP,X,5.0,2016.0,Electric Utility,1.0,2020
31719,FPL Energy Wyman LLC,1507.0,William F Wyman Hybrid,ME,Cumberland,BESS,Batteries,BA,,S,16.7, ,16.2,16.2,0,OP,X,12.0,2016.0,IPP Non-CHP,2.0,2020
13206,Nantucket Electric Co,1615.0,Nantucket Hybrid,MA,Nantucket,20,Batteries,BA,,W,6.0, ,6,6,0.1,OP,X,7.0,2019.0,Electric Utility,1.0,2020
18488,City of Taunton,1682.0,Cleary Flood Hybrid,MA,Bristol,BS1,Batteries,BA,,S,3.0, ,2.9,3,0.1,OP,X,3.0,2020.0,Electric Utility,1.0,2020
13048,City of Mountain Lake - (MN),1998.0,Mountain Lake,MN,Cottonwood,8,Onshore Wind Turbine,WT,,S,1.2, ,1.2,1.2,1.2,OP,X,7.0,2007.0,Electric Utility,1.0,2020
20737,Willmar Municipal Utilities,2022.0,Willmar,MN,Kandiyohi,WTG3,Onshore Wind Turbine,WT,,S,2.0, ,2,2,0.1,OP,X,8.0,2009.0,Electric Utility,1.0,2020
20737,Willmar Municipal Utilities,2022.0,Willmar,MN,Kandiyohi,WTG4,Onshore Wind Turbine,WT,,S,2.0, ,2,2,0.1,OP,X,8.0,2009.0,Electric Utility,1.0,2020
21013,City of Worthington - (MN),2024.0,Worthington,MN,Nobles,10,Onshore Wind Turbine,WT,,W,0.9, ,0.9,0.9,0.1,OP,X,7.0,2002.0,Electric Utility,1.0,2020
21013,City of Worthington - (MN),2024.0,Worthington,MN,Nobles,11,Onshore Wind Turbine,WT,,S,0.9, ,0.9,0.9,0.1,OP,X,7.0,2002.0,Electric Utility,1.0,2020
21013,City of Worthington - (MN),2024.0,Worthington,MN,Nobles,12,Onshore Wind Turbine,WT,,S,1.0, ,1,1,0.1,OP,X,12.0,2003.0,Electric Utility,1.0,2020
21013,City of Worthington - (MN),2024.0,Worthington,MN,Nobles,13,Onshore Wind Turbine,WT,,S,1.0, ,1,1,0.1,OP,X,12.0,2003.0,Electric Utility,1.0,2020
21013,City of Worthington - (MN),2024.0,Worthington,MN,Nobles,8,Onshore Wind Turbine,WT,,S,0.9, ,0.9,0.9,0.1,OP,X,7.0,2002.0,Electric Utility,1.0,2020
21013,City of Worthington - (MN),2024.0,Worthington,MN,Nobles,9,Onshore Wind Turbine,WT,,W,0.9, ,0.9,0.9,0.1,OP,X,7.0,2002.0,Electric Utility,1.0,2020
6779,City of Fremont - (NE),2240.0,Lon Wright,NE,Dodge,CTNWD,Onshore Wind Turbine,WT,,S,40.9, ,40.9,40.9,0.1,OP,X,11.0,2017.0,Electric Utility,1.0,2020
6779,City of Fremont - (NE),2240.0,Lon Wright,NE,Dodge,SLR1,Solar Photovoltaic,PV,,S,1.3, ,1.3,1.3, ,OP,X,3.0,2018.0,Electric Utility,1.0,2020
6779,City of Fremont - (NE),2240.0,Lon Wright,NE,Dodge,SLR2,Solar Photovoltaic,PV,,S,1.0, ,1,1, ,OP,X,9.0,2018.0,Electric Utility,1.0,2020
3542,Duke Energy Ohio Inc,2830.0,Walter C Beckjord,OH,Clermont,BECK1,Batteries,BA,,S,2.0, ,2,2,0,OP,X,1.0,2015.0,Electric Utility,1.0,2020
3542,Duke Energy Ohio Inc,2830.0,Walter C Beckjord,OH,Clermont,BECK2,Batteries,BA,,S,2.0, ,2,2,0,OP,X,11.0,2015.0,Electric Utility,1.0,2020
61919,Kimura Power LLC,2854.0,Yankee Street,OH,Montgomery,YS1,Solar Photovoltaic,PV,,S,1.1, ,1.1,1.1, ,OP,X,3.0,2010.0,IPP Non-CHP,2.0,2020
14063,Oklahoma Gas & Electric Co,2953.0,Mustang,OK,Canadian,SLR1,Solar Photovoltaic,PV,,S,2.5, ,2.5,2.5, ,OP,X,8.0,2015.0,Electric Utility,1.0,2020
56211,Evergy Missouri West,6074.0,Greenwood (MO),MO,Jackson,5,Solar Photovoltaic,PV,,S,3.0, ,3,3, ,OP,X,6.0,2016.0,Electric Utility,1.0,2020
17127,Town of Shrewsbury - (MA),6125.0,Shrewsbury,MA,Worcester,S1,Solar Photovoltaic,PV,,S,3.0,1,2.8,0.8, ,OP,X,6.0,2018.0,Electric Utility,1.0,2020
10451,Kotzebue Electric Assn Inc,6304.0,Kotzebue Hybrid,AK,NORTHWEST ARCTIC,11wt,Onshore Wind Turbine,WT,,S,0.1, ,0.1,0.1,0.1,OP,X,5.0,2005.0,Electric Utility,1.0,2020
10451,Kotzebue Electric Assn Inc,6304.0,Kotzebue Hybrid,AK,NORTHWEST ARCTIC,13WT,Onshore Wind Turbine,WT,,S,0.1, ,0.1,0.1,0.1,OP,X,5.0,2006.0,Electric Utility,1.0,2020
10451,Kotzebue Electric Assn Inc,6304.0,Kotzebue Hybrid,AK,NORTHWEST ARCTIC,14wt,Onshore Wind Turbine,WT,,S,0.1, ,0.1,0.1,0.1,OP,X,5.0,2002.0,Electric Utility,1.0,2020
10451,Kotzebue Electric Assn Inc,6304.0,Kotzebue Hybrid,AK,NORTHWEST ARCTIC,15WT,Onshore Wind Turbine,WT,,S,0.1, ,0.1,0.1,0.1,OP,X,5.0,2006.0,Electric Utility,1.0,2020
