Utility ID,Utility Name,Plant Code,Plant Name,State,Zip,County,Latitude,Longitude,NERC Region,Sector,Sector Name,FERC Cogeneration Status,FERC Cogeneration Docket Number,FERC Small Power Producer Status,FERC Small Power Producer Docket Number,FERC Exempt Wholesale Generator Status,FERC Exempt Wholesale Generator Docket Number,time
63560,"TDX Sand Point Generating, LLC",1,Sand Point,AK,99661,Aleutians East,55.339722,-160.497222,,2,IPP Non-CHP,N,,N,,N,,2020
63560,"TDX Sand Point Generating, LLC",1,Sand Point,AK,99661,Aleutians East,55.339722,-160.497222,,2,IPP Non-CHP,N,,N,,N,,2020
13642,Nome Joint Utility Systems,90,Snake River,AK,99762,Nome,64.505331,-165.429814,,1,Electric Utility,N,,N,,N,,2020
13642,Nome Joint Utility Systems,90,Snake River,AK,99762,Nome,64.505331,-165.429814,,1,Electric Utility,N,,N,,N,,2020
13642,Nome Joint Utility Systems,90,Snake River,AK,99762,Nome,64.505331,-165.429814,,1,Electric Utility,N,,N,,N,,2020
16572,Salt River Project,141,Agua Fria,AZ,85303,Maricopa,33.5561,-112.2153,WECC,1,Electric Utility,N,,N,,N,,2020
9216,Imperial Irrigation District,389,El Centro Hybrid,CA,92243,Imperial,32.802222,-115.54,WECC,1,Electric Utility,N,,N,,N,,2020
10633,City of Lamar - (CO),508,Lamar Plant,CO,81052,Prowers,38.033327,-102.537915,WECC,1,Electric Utility,N,,N,,N,,2020
10633,City of Lamar - (CO),508,Lamar Plant,CO,81052,Prowers,38.033327,-102.537915,WECC,1,Electric Utility,N,,N,,N,,2020
18454,Tampa Electric Co,645,Big Bend,FL,33572,Hillsborough,27.7944,-82.4036,SERC,1,Electric Utility,N,,N,,N,,2020
62042,SRIV Partnership LLC,692,Medicine Bow,WY,82329,Carbon,41.835278,-106.242778,WECC,2,IPP Non-CHP,N,,Y,14-162-000,N,,2020
62042,SRIV Partnership LLC,692,Medicine Bow,WY,82329,Carbon,41.835278,-106.242778,WECC,2,IPP Non-CHP,N,,Y,14-162-000,N,,2020
11843,Maui Electric Co Ltd,792,Palaau Power Hybrid,HI,96748,Maui,21.106,-157.0647,,1,Electric Utility,N,,N,,N,,2020
7095,City of Geneseo - (IL),944,Geneseo,IL,61254,Henry,41.451494,-90.148547,MRO,1,Electric Utility,N,,N,,N,,2020
7095,City of Geneseo - (IL),944,Geneseo,IL,61254,Henry,41.451494,-90.148547,MRO,1,Electric Utility,N,,N,,N,,2020
7095,City of Geneseo - (IL),944,Geneseo,IL,61254,Henry,41.451494,-90.148547,MRO,1,Electric Utility,N,,N,,N,,2020
16179,Rochelle Municipal Utilities,960,North Ninth Street,IL,61068,Ogle,41.9093,-89.0498,RFC,1,Electric Utility,N,,N,,N,,2020
9273,Indianapolis Power & Light Co,990,Harding Street,IN,46217,Marion,39.711319,-86.196867,RFC,1,Electric Utility,N,,N,,N,,2020
14201,City of Osage - (IA),1172,Osage (IA),IA,50461,Mitchell,43.279722,-92.810556,MRO,1,Electric Utility,N,,N,,N,,2020
14201,City of Osage - (IA),1172,Osage (IA),IA,50461,Mitchell,43.279722,-92.810556,MRO,1,Electric Utility,N,,N,,N,,2020
10171,Kentucky Utilities Co,1355,E W Brown,KY,40330,Mercer,37.78831,-84.71257,SERC,1,Electric Utility,N,,N,,N,,2020
31719,FPL Energy Wyman LLC,1507,William F Wyman Hybrid,ME,4096,Cumberland,43.7508,-70.1567,NPCC,2,IPP Non-CHP,N,,N,,Y,"99-144-000,  99-37-000",2020
13206,Nantucket Electric Co,1615,Nantucket Hybrid,MA,2554,Nantucket,41.2583,-70.0517,NPCC,1,Electric Utility,N,,N,,N,,2020
18488,City of Taunton,1682,Cleary Flood Hybrid,MA,2780,Bristol,41.8653,-71.1061,NPCC,1,Electric Utility,N,,N,,N,,2020
13048,City of Mountain Lake - (MN),1998,Mountain Lake,MN,56159,Cottonwood,43.9405,-94.9434,MRO,1,Electric Utility,N,,N,,N,,2020
20737,Willmar Municipal Utilities,2022,Willmar,MN,56201,Kandiyohi,45.121705,-95.053236,MRO,1,Electric Utility,N,,N,,N,,2020
20737,Willmar Municipal Utilities,2022,Willmar,MN,56201,Kandiyohi,45.121705,-95.053236,MRO,1,Electric Utility,N,,N,,N,,2020
21013,City of Worthington - (MN),2024,Worthington,MN,56187,Nobles,43.63349,-95.609234,MRO,1,Electric Utility,N,,N,,N,,2020
21013,City of Worthington - (MN),2024,Worthington,MN,56187,Nobles,43.63349,-95.609234,MRO,1,Electric Utility,N,,N,,N,,2020
21013,City of Worthington - (MN),2024,Worthington,MN,56187,Nobles,43.63349,-95.609234,MRO,1,Electric Utility,N,,N,,N,,2020
21013,City of Worthington - (MN),2024,Worthington,MN,56187,Nobles,43.63349,-95.609234,MRO,1,Electric Utility,N,,N,,N,,2020
21013,City of Worthington - (MN),2024,Worthington,MN,56187,Nobles,43.63349,-95.609234,MRO,1,Electric Utility,N,,N,,N,,2020
21013,City of Worthington - (MN),2024,Worthington,MN,56187,Nobles,43.63349,-95.609234,MRO,1,Electric Utility,N,,N,,N,,2020
6779,City of Fremont - (NE),2240,Lon Wright,NE,68025,Dodge,41.4281,-96.4623,MRO,1,Electric Utility,N,,N,,N,,2020
6779,City of Fremont - (NE),2240,Lon Wright,NE,68025,Dodge,41.4281,-96.4623,MRO,1,Electric Utility,N,,N,,N,,2020
6779,City of Fremont - (NE),2240,Lon Wright,NE,68025,Dodge,41.4281,-96.4623,MRO,1,Electric Utility,N,,N,,N,,2020
3542,Duke Energy Ohio Inc,2830,Walter C Beckjord,OH,45200,Clermont,38.9917,-84.2981,RFC,1,Electric Utility,N,,N,,N,,2020
3542,Duke Energy Ohio Inc,2830,Walter C Beckjord,OH,45200,Clermont,38.9917,-84.2981,RFC,1,Electric Utility,N,,N,,N,,2020
61919,Kimura Power LLC,2854,Yankee Street,OH,45458,Montgomery,39.603,-84.2047,RFC,2,IPP Non-CHP,N,,N,,N,,2020
14063,Oklahoma Gas & Electric Co,2953,Mustang,OK,73127,Canadian,35.46988,-97.67498,MRO,1,Electric Utility,N,,N,,N,,2020
56211,Evergy Missouri West,6074,Greenwood (MO),MO,64034,Jackson,38.8615,-94.2982,MRO,1,Electric Utility,N,,N,,N,,2020
17127,Town of Shrewsbury - (MA),6125,Shrewsbury,MA,1545,Worcester,42.2747,-71.7172,NPCC,1,Electric Utility,N,,N,,N,,2020
10451,Kotzebue Electric Assn Inc,6304,Kotzebue Hybrid,AK,99752,NORTHWEST ARCTIC,66.837778,-162.556944,,1,Electric Utility,N,,N,,N,,2020
10451,Kotzebue Electric Assn Inc,6304,Kotzebue Hybrid,AK,99752,NORTHWEST ARCTIC,66.837778,-162.556944,,1,Electric Utility,N,,N,,N,,2020
10451,Kotzebue Electric Assn Inc,6304,Kotzebue Hybrid,AK,99752,NORTHWEST ARCTIC,66.837778,-162.556944,,1,Electric Utility,N,,N,,N,,2020
10451,Kotzebue Electric Assn Inc,6304,Kotzebue Hybrid,AK,99752,NORTHWEST ARCTIC,66.837778,-162.556944,,1,Electric Utility,N,,N,,N,,2020
10451,Kotzebue Electric Assn Inc,6304,Kotzebue Hybrid,AK,99752,NORTHWEST ARCTIC,66.837778,-162.556944,,1,Electric Utility,N,,N,,N,,2020
10451,Kotzebue Electric Assn Inc,6304,Kotzebue Hybrid,AK,99752,NORTHWEST ARCTIC,66.837778,-162.556944,,1,Electric Utility,N,,N,,N,,2020
10451,Kotzebue Electric Assn Inc,6304,Kotzebue Hybrid,AK,99752,NORTHWEST ARCTIC,66.837778,-162.556944,,1,Electric Utility,N,,N,,N,,2020
10451,Kotzebue Electric Assn Inc,6304,Kotzebue Hybrid,AK,99752,NORTHWEST ARCTIC,66.837778,-162.556944,,1,Electric Utility,N,,N,,N,,2020
10451,Kotzebue Electric Assn Inc,6304,Kotzebue Hybrid,AK,99752,NORTHWEST ARCTIC,66.837778,-162.556944,,1,Electric Utility,N,,N,,N,,2020
10451,Kotzebue Electric Assn Inc,6304,Kotzebue Hybrid,AK,99752,NORTHWEST ARCTIC,66.837778,-162.556944,,1,Electric Utility,N,,N,,N,,2020
10451,Kotzebue Electric Assn Inc,6304,Kotzebue Hybrid,AK,99752,NORTHWEST ARCTIC,66.837778,-162.556944,,1,Electric Utility,N,,N,,N,,2020
10451,Kotzebue Electric Assn Inc,6304,Kotzebue Hybrid,AK,99752,NORTHWEST ARCTIC,66.837778,-162.556944,,1,Electric Utility,N,,N,,N,,2020
13683,North Carolina El Member Corp,6377,Ocracoke Hybrid,NC,27960,Hyde,35.109444,-75.979722,SERC,1,Electric Utility,N,,N,,N,,2020
17609,Southern California Edison Co,6704,Pebbly Beach Generating Station Hybrid,CA,90704,Los Angeles,33.333056,-118.310278,WECC,1,Electric Utility,N,,N,,N,,2020
7601,Green Mountain Power Corp,7381,Searsburg Wind Turbine,VT,5363,Bennington,42.8625,-72.9628,NPCC,1,Electric Utility,N,,N,,N,,2020
15371,Town of Princeton - (MA),7501,Princeton Wind Farm,MA,1541,Worcester,42.4789,-71.9,NPCC,1,Electric Utility,N,,N,,N,,2020
16534,Sacramento Municipal Util Dist,7526,Solano Wind,CA,94512,Solano,38.116415,-121.769031,WECC,1,Electric Utility,N,,N,,N,,2020
16534,Sacramento Municipal Util Dist,7526,Solano Wind,CA,94512,Solano,38.116415,-121.769031,WECC,1,Electric Utility,N,,N,,N,,2020
16534,Sacramento Municipal Util Dist,7526,Solano Wind,CA,94512,Solano,38.116415,-121.769031,WECC,1,Electric Utility,N,,N,,N,,2020
16534,Sacramento Municipal Util Dist,7526,Solano Wind,CA,94512,Solano,38.116415,-121.769031,WECC,1,Electric Utility,N,,N,,N,,2020
58190,Bluestem LLC,7771,Springview,NE,68778,Keya Paha,42.82579,-99.777467,MRO,2,IPP Non-CHP,N,,Y,QF10-594-000,Y,QF10-594-000,2020
58190,Bluestem LLC,7771,Springview,NE,68778,Keya Paha,42.82579,-99.777467,MRO,2,IPP Non-CHP,N,,Y,QF10-594-000,Y,QF10-594-000,2020
12894,City of Moorhead - (MN),7855,Moorhead Wind Turbine,MN,56560,Clay,46.895,-96.7347,MRO,1,Electric Utility,N,,N,,N,,2020
12894,City of Moorhead - (MN),7855,Moorhead Wind Turbine,MN,56560,Clay,46.895,-96.7347,MRO,1,Electric Utility,N,,N,,N,,2020
11479,Madison Gas & Electric Co,7886,Wind Turbine,WI,54205,Kewaunee,44.6694,-87.6333,MRO,1,Electric Utility,N,,N,,N,,2020
18642,Tennessee Valley Authority,7927,Buffalo Mountain,TN,37840,Anderson,36.120994,-84.338733,SERC,1,Electric Utility,N,,N,,N,,2020
18642,Tennessee Valley Authority,7927,Buffalo Mountain,TN,37840,Anderson,36.120994,-84.338733,SERC,1,Electric Utility,N,,N,,N,,2020
18642,Tennessee Valley Authority,7927,Buffalo Mountain,TN,37840,Anderson,36.120994,-84.338733,SERC,1,Electric Utility,N,,N,,N,,2020
20160,Energy Northwest,7936,Nine Canyon,WA,99336,Benton,46.0958,-119.0964,WECC,1,Electric Utility,N,,N,,N,,2020
11018,Lincoln Electric System,7965,Salt Valley Wind Plant,NE,68517,Lancaster,40.9044,-96.6231,MRO,1,Electric Utility,N,,N,,N,,2020
11018,Lincoln Electric System,7965,Salt Valley Wind Plant,NE,68517,Lancaster,40.9044,-96.6231,MRO,1,Electric Utility,N,,N,,N,,2020
309,City of Algona - (IA),7966,Iowa Distributed Wind Generation Project,IA,50511,Kossuth,43.034722,-94.140556,MRO,1,Electric Utility,N,,N,,N,,2020
1307,Basin Electric Power Coop,7974,Chamberlain Wind Project,SD,57325,Brule,43.848529,-99.24757,MRO,1,Electric Utility,N,,N,,N,,2020
1307,Basin Electric Power Coop,7974,Chamberlain Wind Project,SD,57325,Brule,43.848529,-99.24757,MRO,1,Electric Utility,N,,N,,N,,2020
24211,Tucson Electric Power Co,8223,Springerville,AZ,85938,Apache,34.3186,-109.1639,WECC,1,Electric Utility,N,,N,,N,,2020
24211,Tucson Electric Power Co,8223,Springerville,AZ,85938,Apache,34.3186,-109.1639,WECC,1,Electric Utility,N,,N,,N,,2020
24211,Tucson Electric Power Co,8223,Springerville,AZ,85938,Apache,34.3186,-109.1639,WECC,1,Electric Utility,N,,N,,N,,2020
9397,International Turbine Res Inc,10005,Dinosaur Point,CA,93635,Merced,37.0478,-121.1708,WECC,2,IPP Non-CHP,N,,Y,87-588-000,N,,2020
7049,General Electric Aircraft Engines,10029,General Electric Aircraft Engines,MA,1910,Essex,42.45,-70.9739,NPCC,6,Industrial Non-CHP,Y,87-506-001,N,,N,,2020
2719,CalWind Resources Inc,10191,Tehachapi Wind Resource I,CA,93581,Kern,35.060556,-118.389722,WECC,2,IPP Non-CHP,N,,Y,84-465-000,N,,2020
12311,Merck & Co Inc,10224,Merck Rahway Power Plant,NJ,7065,Union,40.615616,-74.26529,RFC,7,Industrial CHP,N,,N,,N,,2020
49846,Covanta Honolulu Resource Recovery,10334,H Power,HI,96707,Honolulu,21.300036,-158.098615,,4,Commercial Non-CHP,N,,N,,N,,2020
60246,"Sunray Energy 2, LLC",10437,Sunray 2,CA,92327,San Bernardino,34.863356,-116.827627,WECC,2,IPP Non-CHP,N,,N,,N,,2020
60247,Sunray Energy 3 LLC,10438,Sunray 3,CA,92327,San Bernardino,34.863356,-116.827627,WECC,2,IPP Non-CHP,N,,N,,N,,2020
55711,FPL Energy Operating Services Inc - SEGS,10439,SEGS III,CA,93516,San Bernardino,35.00694,-117.555768,WECC,2,IPP Non-CHP,N,,Y,86-734-000,N,,2020
55711,FPL Energy Operating Services Inc - SEGS,10440,SEGS IV,CA,93516,San Bernardino,35.012166,-117.555672,WECC,2,IPP Non-CHP,N,,Y,86-736-000,N,,2020
55711,FPL Energy Operating Services Inc - SEGS,10441,SEGS V,CA,93516,San Bernardino,35.01948,-117.55553,WECC,2,IPP Non-CHP,N,,Y,87-402-000,N,,2020
55711,FPL Energy Operating Services Inc - SEGS,10442,SEGS VI,CA,93516,San Bernardino,35.020981,-117.566079,WECC,2,IPP Non-CHP,N,,Y,88-33-000,N,,2020
55711,FPL Energy Operating Services Inc - SEGS,10443,SEGS VII,CA,93516,San Bernardino,35.014836,-117.565903,WECC,2,IPP Non-CHP,N,,Y,88-34-000,N,,2020
