Plant Code,Generator ID,Net Metering Agreement?,Net Metering DC Capacity (MW),Virtual Net Metering Agreement?,Virtual Net Metering DC Capacity (MW),time
141,PV-3,N, ,N, ,2020
645,1,N, ,N, ,2020
944,12,N, ,N, ,2020
960,SOL1,Y,0.3,N, ,2020
1172,SO,N, ,N, ,2020
1355,SOLAR,N, ,N, ,2020
2240,SLR1,N, ,N, ,2020
2240,SLR2,N, ,N, ,2020
2854,YS1,N, ,N, ,2020
2953,SLR1,N, ,N, ,2020
6074,5,N, ,N, ,2020
6125,S1,N, ,N, ,2020
8223,SGSS,N, ,N, ,2020
8223,SGSS1,N, ,N, ,2020
8223,WMS,N, ,N, ,2020
10029,PV,N, ,N, ,2020
10224,SOLAR,N, ,N, ,2020
10334,PV1,N, ,N, ,2020
10437,SUN2,N, ,N, ,2020
10438,SUN3,N, ,N, ,2020
10439,GEN1,X, ,X, ,2020
10440,GEN1,X, ,X, ,2020
10441,GEN1,X, ,X, ,2020
10442,GEN1,X, ,X, ,2020
10443,GEN1,X, ,X, ,2020
10444,GEN1,X, ,X, ,2020
10446,GEN1,X, ,X, ,2020
10823,PV101,N, ,N, ,2020
50061,GEN5,Y,0.1,N, ,2020
50061,GEN6,Y,0.4,N, ,2020
50061,GEN7,Y,0.3,N, ,2020
50061,GEN8,Y,0.1,N, ,2020
50765,1,N, ,N, ,2020
54569,CPV1,N, ,N, ,2020
56228,PV1,N, ,N, ,2020
56322,WHS1,N, ,N, ,2020
56405,ONE,X, ,X, ,2020
56481,1,Y,1,N, ,2020
56481,2,Y,7.2,N, ,2020
56500,PV1,N, ,N, ,2020
56568,NS1,N, ,N, ,2020
56568,NS2,N, ,N, ,2020
56568,NS3,N, ,N, ,2020
56667,0001,N, ,N, ,2020
56667,0002,N, ,N, ,2020
56667,0003,N, ,N, ,2020
56667,0004,N, ,N, ,2020
56667,0005,N, ,N, ,2020
56667,0006,N, ,N, ,2020
56667,0007,N, ,N, ,2020
56667,0008,N, ,N, ,2020
56667,0009,N, ,N, ,2020
56667,0010,N, ,N, ,2020
56667,0011,N, ,N, ,2020
56667,0012,N, ,N, ,2020
56768,CR1,N, ,N, ,2020
56812,GEN 1,N, ,N, ,2020
56812,GEN2,N, ,N, ,2020
56813,1,Y,0.5,N, ,2020
56813,2,Y,0.5,N, ,2020
56814,PV1,Y,0.5,N, ,2020
56814,PV2,Y,0.5,N, ,2020
56815,1,Y,1.8,N, ,2020
56862,1,Y,0.3,N, ,2020
56862,2,Y,0.3,N, ,2020
56862,3,Y,0.3,N, ,2020
56862,4,Y,0.3,N, ,2020
56875,TBD,N, ,N, ,2020
56877,TBD,Y,1.8,N, ,2020
56883,GEN 1,N, ,N, ,2020
56883,GEN 2,N, ,N, ,2020
56883,GEN 3,N, ,N, ,2020
56883,GEN 4,N, ,N, ,2020
56883,GEN 5,N, ,N, ,2020
56883,GEN 6,N, ,N, ,2020
56883,GEN 7,N, ,N, ,2020
56883,GEN 8,N, ,N, ,2020
56883,GEN 9,N, ,N, ,2020
56883,GEN10,N, ,N, ,2020
56888,GEN 1,N, ,N, ,2020
56888,GEN 2,N, ,N, ,2020
56888,GEN 3,N, ,N, ,2020
56888,GEN 4,N, ,N, ,2020
56889,GEN 1,N, ,N, ,2020
56900,1,Y,0.4,N, ,2020
56900,2,Y,0.4,N, ,2020
56900,3,Y,0.4,N, ,2020
56900,4,Y,0.4,N, ,2020
56909,1,Y,0.3,N, ,2020
56909,2,Y,0.3,N, ,2020
56909,3,Y,0.3,N, ,2020
56909,4,Y,0.3,N, ,2020
56915,1,N, ,N, ,2020
56915,2,N, ,N, ,2020
56915,3,N, ,N, ,2020
56915,4,N, ,N, ,2020
56917,1,N, ,N, ,2020
56917,1A,N, ,N, ,2020
56917,1B,N, ,N, ,2020
56922,EAST,Y,0.5,N, ,2020
56922,WEST,Y,1,N, ,2020
56929,1,N, ,N, ,2020
56930,1,N, ,N, ,2020
56938,NCP1,N, ,N, ,2020
56939,1,N, ,N, ,2020
56944,PV01,N, ,N, ,2020
56966,1,N, ,N, ,2020
56966,2,N, ,N, ,2020
56993,MESA,N, ,N, ,2020
56996,S1A,N, ,N, ,2020
56996,S1B,N, ,N, ,2020
57004,1,Y,1,N, ,2020
57005,1,Y,1,N, ,2020
57006,1,Y,1,N, ,2020
57007,1,N, ,N, ,2020
57008,1,Y,1,N, ,2020
57009,1,Y,1,N, ,2020
57010,1,N, ,N, ,2020
57011,1,N, ,N, ,2020
57012,1,Y,1,N, ,2020
57041,1,N, ,N, ,2020
57073,ST1,X, ,X, ,2020
57074,ST1,X, ,X, ,2020
57075,ST1,X, ,X, ,2020
57081,CVS1,N, ,N, ,2020
57081,CVS2,N, ,N, ,2020
57141,CSU1,N, ,N, ,2020
57191,ECS1,N, ,N, ,2020
57197,1,N, ,N, ,2020
57200,1,N, ,N, ,2020
57202,1,N, ,N, ,2020
57203,1,N, ,N, ,2020
57204,1,N, ,N, ,2020
57205,PV02,N, ,N, ,2020
57205,PV03,N, ,N, ,2020
57205,PV04,N, ,N, ,2020
57205,PV05,N, ,N, ,2020
57205,PV06,N, ,N, ,2020
57216,1,N, ,N, ,2020
57216,2,N, ,N, ,2020
57216,3,N, ,N, ,2020
57217,S003A,N, ,N, ,2020
57217,S003B,N, ,N, ,2020
57219,S005A,N, ,N, ,2020
57219,S005B,N, ,N, ,2020
57219,S005C,N, ,N, ,2020
57219,S005D,N, ,N, ,2020
57219,S005E,N, ,N, ,2020
57220,S006A,N, ,N, ,2020
57220,S006B,N, ,N, ,2020
57220,S006C,N, ,N, ,2020
57220,S006D,N, ,N, ,2020
57221,S007A,N, ,N, ,2020
57221,S007B,N, ,N, ,2020
57221,S007C,N, ,N, ,2020
57221,S007D,N, ,N, ,2020
57221,S007E,N, ,N, ,2020
57222,S008A,N, ,N, ,2020
57222,S008B,N, ,N, ,2020
57222,S008C,N, ,N, ,2020
57222,S008D,N, ,N, ,2020
57223,S009A,N, ,N, ,2020
57223,S009B,N, ,N, ,2020
57224,S010A,N, ,N, ,2020
57224,S010B,N, ,N, ,2020
57224,S010C,N, ,N, ,2020
57225,S011A,N, ,N, ,2020
57225,S011B,N, ,N, ,2020
57225,S011C,N, ,N, ,2020
57225,S011D,N, ,N, ,2020
57225,S011E,N, ,N, ,2020
57225,S011F,N, ,N, ,2020
57225,S011G,N, ,N, ,2020
57226,S012A,N, ,N, ,2020
57227,S013A,N, ,N, ,2020
57227,S013B,N, ,N, ,2020
57227,S013C,N, ,N, ,2020
57227,S013D,N, ,N, ,2020
57227,S013E,N, ,N, ,2020
57227,S013F,N, ,N, ,2020
57227,S013G,N, ,N, ,2020
57229,S015A,N, ,N, ,2020
57229,S015B,N, ,N, ,2020
57229,S015C,N, ,N, ,2020
57229,S015D,N, ,N, ,2020
57229,S015E,N, ,N, ,2020
57229,S015F,N, ,N, ,2020
57229,S015G,N, ,N, ,2020
57230,S016A,N, ,N, ,2020
57230,S016B,N, ,N, ,2020
57230,S016C,N, ,N, ,2020
57231,S017A,N, ,N, ,2020
57231,S017B,N, ,N, ,2020
57231,S017C,N, ,N, ,2020
57231,S017D,N, ,N, ,2020
57231,S017E,N, ,N, ,2020
57231,S017F,N, ,N, ,2020
57231,S017G,N, ,N, ,2020
57232,S018A,N, ,N, ,2020
57232,S018B,N, ,N, ,2020
57232,S018C,N, ,N, ,2020
57236,S023A,N, ,N, ,2020
57236,S023B,N, ,N, ,2020
57236,S023C,N, ,N, ,2020
57236,S023D,N, ,N, ,2020
57236,S023E,N, ,N, ,2020
57237,S022A,N, ,N, ,2020
57237,S022B,N, ,N, ,2020
57237,S022C,N, ,N, ,2020
57237,S022D,N, ,N, ,2020
57243,CIM1,N, ,N, ,2020
57245,S026A,N, ,N, ,2020
57245,S026B,N, ,N, ,2020
57245,S026C,N, ,N, ,2020
57245,S026D,N, ,N, ,2020
57245,S026E,N, ,N, ,2020
57245,S026F,N, ,N, ,2020
57245,S026G,N, ,N, ,2020
57245,S026H,N, ,N, ,2020
57245,S026I,N, ,N, ,2020
57245,S026J,N, ,N, ,2020
57245,SO26K,N, ,N, ,2020
57245,SO26L,N, ,N, ,2020
57246,S027A,N, ,N, ,2020
57246,S027B,N, ,N, ,2020
57246,S027C,N, ,N, ,2020
57246,S027D,N, ,N, ,2020
57247,S028A,N, ,N, ,2020
57247,S028B,N, ,N, ,2020
57247,S028C,N, ,N, ,2020
57247,S028D,N, ,N, ,2020
57247,S028E,N, ,N, ,2020
57247,S028F,N, ,N, ,2020
57247,S028G,N, ,N, ,2020
57254,1PV,N, ,N, ,2020
57256,1,N, ,N, ,2020
57265,1,N, ,N, ,2020
57269,1,N, ,N, ,2020
57270,1,N, ,N, ,2020
57275,TSE-1,N, ,N, ,2020
57280,1,Y,0.1,N, ,2020
57295,1,N, ,N, ,2020
57305,1,N, ,N, ,2020
57306,1,N, ,N, ,2020
57308,1,N, ,N, ,2020
57309,1,Y,1.1,N, ,2020
57310,1,Y,1.4,N, ,2020
57311,1,Y,1.1,N, ,2020
57313,1,Y,1.2,N, ,2020
57314,1,Y,2.5,N, ,2020
57317,1,N, ,N, ,2020
57318,1,N, ,N, ,2020
57321,1PV,N, ,N, ,2020
57324,PV1,N, ,N, ,2020
57330,1,Y,1.2,N, ,2020
57331,MSP1,N, ,N, ,2020
57331,MSP2,N, ,N, ,2020
57334,PV01,N, ,N, ,2020
57335,PV01,N, ,N, ,2020
57336,PV01,N, ,N, ,2020
57337,1,N, ,N, ,2020
57338,1,N, ,N, ,2020
57340,1,N, ,N, ,2020
57341,SILV,N, ,N, ,2020
57352,TREN,N, ,N, ,2020
57359,1,N, ,N, ,2020
57360,1,N, ,N, ,2020
57361,1,N, ,N, ,2020
57362,1,Y,2,N, ,2020
57363,1,N, ,N, ,2020
57367,POCON,Y,2,Y,1,2020
57368,1,N, ,N, ,2020
57369,QST,N, ,N, ,2020
57372,INV-1,N, ,N, ,2020
57373,AGU1,N, ,N, ,2020
57373,AGU2,N, ,N, ,2020
57373,AGU3,N, ,N, ,2020
57377,GS-P1,N, ,N, ,2020
57377,GS-P2,N, ,N, ,2020
57378,AVSR,N, ,N, ,2020
57381,LIND,N, ,N, ,2020
57382,YARD,N, ,N, ,2020
57383,BAYO,N, ,N, ,2020
57384,MATR,N, ,N, ,2020
57390,1,Y,3,N, ,2020
57392,UATP1,N, ,N, ,2020
57394,GEN01,X, ,X, ,2020
57394,GEN02,X, ,X, ,2020
57397,PV01,Y,2.5,N, ,2020
57397,PV02,Y,1.6,N, ,2020
57402,TAY1,N, ,N, ,2020
57412,1,Y,3.2,N, ,2020
57422,1,Y,1,N, ,2020
57435,1,N, ,N, ,2020
57435,2,N, ,N, ,2020
57435,3,N, ,N, ,2020
57435,4,N, ,N, ,2020
57435,5,N, ,N, ,2020
57438,1,N, ,N, ,2020
57439,HPR2,N, ,N, ,2020
57439,HPR2A,N, ,N, ,2020
57439,HPR2B,N, ,N, ,2020
57439,HPR2C,N, ,N, ,2020
57439,HPR2D,N, ,N, ,2020
