Utility ID,Utility Name,Street Address,City,State,Zip,Entity Type,time
63560,"TDX Sand Point Generating, LLC",3601 C Street Suite 1000-52,Anchorage,AK,99503,I,2021
63560,"TDX Sand Point Generating, LLC",3601 C Street Suite 1000-52,Anchorage,AK,99503,I,2021
13642,Nome Joint Utility Systems,1226 Port Road,Nome,AK,99762,M,2021
13642,Nome Joint Utility Systems,1226 Port Road,Nome,AK,99762,M,2021
16572,Salt River Project,P O Box 52025,Phoenix,AZ,85072,P,2021
16572,Salt River Project,P O Box 52025,Phoenix,AZ,85072,P,2021
54802,Dynegy -Moss Landing LLC,Hwy 1 & Dolan Rd,Moss Landing,CA,95039,Q,2021
54802,Dynegy -Moss Landing LLC,Hwy 1 & Dolan Rd,Moss Landing,CA,95039,Q,2021
9216,Imperial Irrigation District,333 East Barioni BoulevardP O,Imperial,CA,92251,P,2021
10633,City of Lamar - (CO),100 North 2nd Street,Lamar,CO,81052,M,2021
10633,City of Lamar - (CO),100 North 2nd Street,Lamar,CO,81052,M,2021
18454,Tampa Electric Co,702 North Franklin Street,Tampa,FL,33602,I,2021
62042,SRIV Partnership LLC,"1000 SW Broadway St, Suite 188",Portland,OR,97205,Q,2021
62042,SRIV Partnership LLC,"1000 SW Broadway St, Suite 188",Portland,OR,97205,Q,2021
11843,Maui Electric Co Ltd,P O Box 398210 West Kamehameha,Kahului - Maui,HI,96732,I,2021
7095,City of Geneseo - (IL),433 E North Street,Geneseo,IL,61254,M,2021
7095,City of Geneseo - (IL),433 E North Street,Geneseo,IL,61254,M,2021
7095,City of Geneseo - (IL),433 E North Street,Geneseo,IL,61254,M,2021
16179,Rochelle Municipal Utilities,333 Lincoln Highway,Rochelle,IL,61068,M,2021
9273,Indianapolis Power & Light Co,P O Box 1595One Monument Circl,Indianapolis,IN,46206,I,2021
6235,Fayetteville Public Works Commission,Box 1089 955 Old Wilmington Rd,Fayetteville,NC,28301,M,2021
6235,Fayetteville Public Works Commission,Box 1089 955 Old Wilmington Rd,Fayetteville,NC,28301,M,2021
14201,City of Osage - (IA),720 Chestnut Street,Osage,IA,50461,M,2021
14201,City of Osage - (IA),720 Chestnut Street,Osage,IA,50461,M,2021
10171,Kentucky Utilities Co,One Quality Street,Lexington,KY,40507,I,2021
31719,FPL Energy Wyman LLC,700 Universe Blvd,Juno Beach,FL,33408,Q,2021
13206,Nantucket Electric Co,2 Windy Way #374,Nantucket,MA,2554,I,2021
18488,City of Taunton,55 Weir St,Taunton,MA,2780,M,2021
13048,City of Mountain Lake - (MN),930 Third Ave.,Mountain Lake,MN,56159,M,2021
20737,Willmar Municipal Utilities,700 Litchfield Ave S W,Willmar,MN,56201,M,2021
20737,Willmar Municipal Utilities,700 Litchfield Ave S W,Willmar,MN,56201,M,2021
21013,City of Worthington - (MN),318 Ninth Street,Worthington,MN,56187,M,2021
21013,City of Worthington - (MN),318 Ninth Street,Worthington,MN,56187,M,2021
21013,City of Worthington - (MN),318 Ninth Street,Worthington,MN,56187,M,2021
21013,City of Worthington - (MN),318 Ninth Street,Worthington,MN,56187,M,2021
21013,City of Worthington - (MN),318 Ninth Street,Worthington,MN,56187,M,2021
21013,City of Worthington - (MN),318 Ninth Street,Worthington,MN,56187,M,2021
6779,City of Fremont - (NE),400 E Military,Fremont,NE,68025,M,2021
6779,City of Fremont - (NE),400 E Military,Fremont,NE,68025,M,2021
6779,City of Fremont - (NE),400 E Military,Fremont,NE,68025,M,2021
3542,Duke Energy Ohio Inc,P O Box 960 139 East Fourth St,Cincinnati,OH,45202,I,2021
3542,Duke Energy Ohio Inc,P O Box 960 139 East Fourth St,Cincinnati,OH,45202,I,2021
61919,Kimura Power LLC,2101 Arbor Blvd,Moraine,OH,45439,Q,2021
14063,Oklahoma Gas & Electric Co,P O Box 321,Oklahoma City,OK,73101,I,2021
56211,Evergy Missouri West,1200 Main St.,Kansas City,MO,64141,I,2021
11806,Massachusetts Mun Wholes Electric Co,P O Box 426 - 327 Moody Street,Ludlow,MA,1056,P,2021
10451,Kotzebue Electric Assn Inc,P.O. Box 44,Kotzebue,AK,99752,C,2021
10451,Kotzebue Electric Assn Inc,P.O. Box 44,Kotzebue,AK,99752,C,2021
10451,Kotzebue Electric Assn Inc,P.O. Box 44,Kotzebue,AK,99752,C,2021
10451,Kotzebue Electric Assn Inc,P.O. Box 44,Kotzebue,AK,99752,C,2021
10451,Kotzebue Electric Assn Inc,P.O. Box 44,Kotzebue,AK,99752,C,2021
10451,Kotzebue Electric Assn Inc,P.O. Box 44,Kotzebue,AK,99752,C,2021
10451,Kotzebue Electric Assn Inc,P.O. Box 44,Kotzebue,AK,99752,C,2021
10451,Kotzebue Electric Assn Inc,P.O. Box 44,Kotzebue,AK,99752,C,2021
10451,Kotzebue Electric Assn Inc,P.O. Box 44,Kotzebue,AK,99752,C,2021
10451,Kotzebue Electric Assn Inc,P.O. Box 44,Kotzebue,AK,99752,C,2021
