Plant Code,Generator ID,Number of Turbines,Predominant Turbine Manufacturer,Predominant Turbine Model Number,Design Wind Speed (mph),Wind Quality Class,Turbine Hub Height (Feet),time
1,WT1,1,Vestas,V39-500,19.0,2,155.0,2020
1,WT2,1,Vestas,V39-500,19.0,2,155.0,2020
90,ENT,15,Entegrity Wind Systems,EW50,20.0,2,102.0,2020
90,EWT 1,1,EWT,DW54-900,20.0,2,164.0,2020
90,EWT 2,1,EWT,DW54-900,20.0,2,164.0,2020
508,T1-T3,3,GE,1.5 XLE,19.0,2,262.4,2020
508,T4,1,GE,1.5 XLE,19.0,2,262.4,2020
692,10,7,Vestas,V47-660,18.8,2,164.0,2020
692,11,2,Vestas,V42-600,18.8,2,164.0,2020
944,10,1,VENSYS,VENSYS77,18.0,2,200.0,2020
944,11,1,VENSYS,VENSYS77,18.0,2,200.0,2020
1172,W1,1,GE,1.5 SLE,17.8,2,260.0,2020
1998,8,1,Suzlon,S64-1250,15.0,2,246.0,2020
2022,WTG3,1,DeWind,D8.2,14.7,2,262.4,2020
2022,WTG4,1,DeWind,D8.2,14.7,2,262.4,2020
2024,10,1,NEG-Micon,NM52/900,19.0,2,240.0,2020
2024,11,1,NEG-Micon,NM52/900,19.0,2,240.0,2020
2024,12,1,NEG-Micon,NM54/950,19.0,2,240.0,2020
2024,13,1,NEG-Micon,NM54/950,19.0,2,240.0,2020
2024,8,1,NEG-Micon,NM52/900,19.0,2,240.0,2020
2024,9,1,NEG-Micon,NM52/900,19.0,2,240.0,2020
2240,CTNWD,19,GE,1.5 S,19.0,2,295.0,2020
6304,11wt,1,AOC,AOC15/50,13.0,2,90.0,2020
6304,13WT,1,Vestas,V15,13.0,2,90.0,2020
6304,14wt,1,Northern Power,Northwind 100,13.0,2,90.0,2020
6304,15WT,1,AOC,AOC15/50,13.0,2,90.0,2020
6304,16WT,1,AOC,AOC15/50,13.0,2,90.0,2020
6304,17WT,1,AOC,AOC15/50,13.0,2,90.0,2020
6304,18WT,1,EWT,DW54-900,13.0,2,250.0,2020
6304,19WT,1,EWT,DW54-900,13.0,2,250.0,2020
6304,1WT,10,AOC,AOC15/50,13.0,2,90.0,2020
6304,2WT,1,AOC,AOC15/50,13.0,2,90.0,2020
6304,3WT,3,AOC,AOC15/50,13.0,2,90.0,2020
7381,1,11,Zond,Z-40,18.0,1,132.0,2020
7501,2,2,Fuhrlander,FL 1500-77,16.0,2,230.0,2020
7526,1,23,Vestas,V47-660,16.8,2,180.0,2020
7526,2,8,Vestas,V90-3.0,16.8,2,262.4,2020
7526,2B,21,Vestas,V90-3.0,16.8,2,262.4,2020
7526,3,55,Vestas,V90-1.8,16.8,2,262.4,2020
7771,3,1,VENSYS,VENSYS77,16.0,2,201.7,2020
7771,4,1,VENSYS,VENSYS77,16.0,2,201.7,2020
7855,8,1,NEG-Micon,NM48/750,19.0,2,180.0,2020
7855,9,1,NEG-Micon,NM48/750,19.0,2,180.0,2020
7886,1,17,Vestas,V47-660,18.0,3,213.0,2020
7927,1,1,Vestas,V47-660,15.2,4,213.0,2020
7927,2,1,Vestas,V47-660,15.2,4,213.0,2020
7927,3,1,Vestas,V47-660,15.2,4,213.0,2020
7936,1,63,Siemens,SWT-1.3-62,14.0,4,200.0,2020
7965,G1,1,Vestas,V47-660,17.0,3,213.0,2020
7965,G2,1,Vestas,V47-660,17.0,3,213.0,2020
7966,IDWG,3,Zond,Z-50,15.7,2,165.0,2020
7974,WTC1,1,Nordex,N60/1300,18.8,1,196.9,2020
7974,WTC2,1,Nordex,N60/1300,18.8,1,196.9,2020
10005,WTGS,161,Vestas,V17-90,15.4,2,80.0,2020
10191,EXIS,134,Nordtank,NTK 65/13,17.0,1,80.0,2020
10586,EXIS,114,Micon,M700-225/40,22.4,1,180.0,2020
10597,WGN1,239,Nordtank,NTK 75/15,22.4,1,85.0,2020
10718,WND,12,GE,1.5 S,21.0,1,185.0,2020
10823,WT101,1,Vestas,PS-600,20.4,2,195.0,2020
10823,WT102,1,Vestas,PS-600,20.4,2,195.0,2020
50276,EXIS,60,Renewtech,WT100,17.5,2,80.0,2020
50281,WGEN,111,Vestas,V42-600,22.0,1,131.0,2020
50532,15SLE,1,GE,1.5 S,19.5,2,210.0,2020
50532,WGNS,241,Vestas,V15,16.5,1,80.0,2020
50535,WGNS,460,Vestas,V15,15.7,1,80.0,2020
50552,WGNS,52,Zond,Z-48,20.0,2,213.0,2020
50553,1,8,Clipper,Liberty C93,19.0,2,262.4,2020
50690,GEN1,62,Micon,M700-225/40,22.4,1,180.0,2020
50754,GEN1,37,Nordtank,NTK 75/15,22.4,1,85.0,2020
50754,GEN2,7,Micon,M750-400/100,22.4,1,180.0,2020
50754,GEN3,33,Micon,M750-400/100,22.4,1,180.0,2020
50754,GEN4,4,Micon,M750-400/100,22.4,1,180.0,2020
50820,GEN1,5,Micon,M1500-600/150,15.0,1,151.0,2020
50821,GEN1,238,Mitsubishi,MWT-250,22.4,1,100.0,2020
52142,GEN1,300,Mitsubishi,MWT-250,14.0,2,100.0,2020
52162,WGNS,157,Vestas,V17-75,26.8,1,80.0,2020
52163,WTGN,235,Vestas,V17-75,26.8,1,80.0,2020
54298,GEWE,5,GE,1.5-77,19.2,1,213.2,2020
54299,GEWE,2,GE,1.5-77,19.2,1,213.2,2020
54300,GEWE,3,GE,1.5-77,19.2,1,213.2,2020
54300,SX1S,3,GE,1.5-77,19.2,1,213.0,2020
54453,GEN2,71,GE,1.5 SLE,19.0,2,262.5,2020
54454,GEN11,33,GE,1.5 SLE,19.0,2,213.3,2020
54647,EXIS,100,Danwin,Danwin 23/160,21.0,2,80.0,2020
54650,EXI2,57,Danwin,Danwin 23/160,22.0,1,75.4,2020
54650,EXIS,60,Danwin,Danwin 23/160,22.0,1,75.4,2020
54686,EXIS,251,Micon,108,22.0,1,131.2,2020
54750,VW1,29,Vestas,V27-225,17.6,1,140.0,2020
54793,2,1,Zond,Z-50,17.0,1,217.0,2020
54793,3,1,Zond,Z-50,17.0,1,217.0,2020
54793,EXIS,138,Zond,Z-50,17.0,1,217.0,2020
54909,EXI2,13,Vestas,V47-660,19.0,1,164.0,2020
54909,EXIS,175,Bonus,Bonus 65/13kW,19.0,1,80.0,2020
54931,WGN1,71,Vestas,V47-660,22.4,1,180.0,2020
54979,WIND,46,Vestas,V47-660,22.4,1,180.0,2020
55125,WGNS,38,Vestas,V47-660,22.4,1,164.0,2020
55208,EXIS,139,Zond,Z-48,16.0,1,175.0,2020
55265,EXIS,137,Zond,Z-50,18.4,2,168.0,2020
55287,EXIS,102,Zond,Z-50,16.5,1,217.0,2020
55342,WIND,4,GE,2.3-116,17.9,3,262.5,2020
55353,NMO1,15,Micon,M750-400/100,15.2,1,164.0,2020
55354,6150,18,Vestas,V47-660,15.9,2,213.0,2020
55368,V47,10,Vestas,V47-660,24.0,2,180.0,2020
55396,WGNS,22,Zond,Z-50,19.0,2,295.0,2020
55560,V-47,268,Vestas,V47-660,22.4,1,164.0,2020
55561,TN30,3,Vestas,V47-660,24.0,1,213.0,2020
55562,SU30,3,Vestas,V47-660,24.0,1,213.0,2020
55563,JH30,3,Vestas,V47-660,24.0,1,213.0,2020
55564,JM30,3,Vestas,V47-660,24.0,1,213.0,2020
55565,JR30,3,Vestas,V47-660,24.0,1,213.0,2020
55566,AH30,3,Vestas,V47-660,24.0,1,213.0,2020
55567,WS30,3,Vestas,V47-660,24.0,1,213.0,2020
55568,TL30,3,Vestas,V47-660,24.0,1,213.0,2020
55569,SH30,3,Vestas,V47-660,24.0,1,213.0,2020
55570,SR30,3,Vestas,V47-660,24.0,1,213.0,2020
55571,RR30,3,Vestas,V47-660,24.0,1,213.0,2020
55572,HC30,3,Vestas,V47-660,24.0,1,213.0,2020
55573,HR30,3,Vestas,V47-660,24.0,1,213.0,2020
55574,FH30,3,Vestas,V47-660,24.0,1,213.0,2020
55576,AB30,3,Vestas,V47-660,24.0,1,213.0,2020
55579,EXIS,80,Mitsubishi,MWT-1000,21.3,1,213.2,2020
55581,EXIS,214,Siemens,SWT-1.3-62,19.0,2,203.4,2020
55607,GEN1,69,Mitsubishi,MWT-450,17.0,1,131.0,2020
55719,GEN2,37,Mitsubishi,MWT-600 (45m),26.8,1,196.8,2020
55719,GENI,74,Mitsubishi,MWT-600 (45m),26.8,1,196.8,2020
55734,V47,170,Gamesa,G47,22.4,1,213.3,2020
55739,GEN1,40,Mitsubishi,MWT-600 (47m),17.0,1,196.8,2020
55739,GEN2,43,Mitsubishi,MWT-600 (47m),17.0,1,196.8,2020
55740,GEN1,50,Mitsubishi,MWT-1000,12.0,1,197.0,2020
55741,A1,33,NEG-Micon,NM52/900,17.9,3,236.2,2020
55742,ER15,20,GE,1.5 S,19.0,2,213.2,2020
55747,NWP2,125,Vestas,V47-660,22.4,1,164.0,2020
55769,MADW,7,Vestas,V66-1.65,22.0,1,220.0,2020
55782,WH01,1,NEG-Micon,NM72C/1500,19.0,2,230.0,2020
55790,1,20,GE,1.5 SE,24.0,1,262.0,2020
55795,01,117,Vestas,Vestas V-47,22.4,1,164.0,2020
55796,01,125,Vestas,Vestas V-47,22.4,1,164.0,2020
55803,EW,6,GE,1.5 S,14.0,2,213.3,2020
55804,NM,88,NEG-Micon,NM52/900,19.0,2,236.0,2020
55805,G1,10,GE,1.5 S,16.0,2,213.3,2020
55809,G1,2,Micon,M750-400/100,16.0,2,180.0,2020
55816,48M,55,NEG-Micon,NM48/750,19.0,2,183.0,2020
55871,Ph 1,16,GE,1.5 SLE,14.9,4,213.0,2020
55944,BAY,2,NEG-Micon,NM52/900,15.7,3,237.0,2020
55968,WTG1,100,GE,1.5 S,18.0,2,213.3,2020
55980,1,3,Vestas,V47-660,22.4,1,213.2,2020
55981,1,3,Vestas,V47-660,22.4,1,213.2,2020
