Table Name,Column Name,Count,Repeat Tables
Matched,time,9,"Plant, Matched, Storage, Generator, Energy Storage, Solar, Owner, Wind, Utility"
Matched,generator id,7,"Matched, Storage, Generator, Energy Storage, Solar, Owner, Wind"
Matched,plant code,5,"Plant, Matched, Generator, Solar, Wind"
Matched,plant name,5,"Plant, Matched, Storage, Generator, Energy Storage"
Matched,utility id,5,"Plant, Matched, Generator, Owner, Utility"
Matched,state,4,"Matched, Utility, Plant, Generator"
Matched,utility name,4,"Matched, Utility, Plant, Generator"
Matched,technology,4,"Matched, Storage, Generator, Energy Storage"
Matched,zip,3,"Matched, Utility, Plant"
Matched,county,3,"Matched, Plant, Generator"
Matched,sector,3,"Matched, Plant, Generator"
Matched,sector name,3,"Matched, Plant, Generator"
Matched,synchronized to transmission grid,2,"Matched, Generator"
Matched,status,2,"Matched, Generator"
Matched,city,2,"Matched, Utility"
Matched,minimum load (mw),2,"Matched, Generator"
Matched,winter capacity (mw),2,"Matched, Generator"
Matched,operating month,2,"Matched, Generator"
Matched,operating year,2,"Matched, Generator"
Matched,street address,2,"Matched, Utility"
Matched,owner state,2,"Matched, Owner"
Matched,entity type,2,"Matched, Utility"
Matched,owner city,2,"Matched, Owner"
Matched,nameplate power factor,2,"Matched, Generator"
Matched,owner zip,2,"Matched, Owner"
Matched,ownership id,2,"Matched, Owner"
Matched,percent owned,2,"Matched, Owner"
Matched,net metering agreement?,2,"Matched, Solar"
Matched,net metering dc capacity (mw),2,"Matched, Solar"
Matched,virtual net metering agreement?,2,"Matched, Solar"
Matched,summer capacity (mw),2,"Matched, Generator"
Matched,ferc exempt wholesale generator docket number,2,"Matched, Plant"
Matched,nameplate capacity (mw),2,"Matched, Generator"
Matched,longitude,2,"Matched, Plant"
Matched,number of turbines,2,"Matched, Wind"
Matched,predominant turbine manufacturer,2,"Matched, Wind"
Matched,predominant turbine model number,2,"Matched, Wind"
Matched,design wind speed (mph),2,"Matched, Wind"
Matched,wind quality class,2,"Matched, Wind"
Matched,turbine hub height (feet),2,"Matched, Wind"
Matched,latitude,2,"Matched, Plant"
Matched,nerc region,2,"Matched, Plant"
Matched,ownership,2,"Matched, Generator"
Matched,ferc cogeneration status,2,"Matched, Plant"
Matched,ferc cogeneration docket number,2,"Matched, Plant"
Matched,ferc small power producer status,2,"Matched, Plant"
Matched,ferc small power producer docket number,2,"Matched, Plant"
Matched,ferc exempt wholesale generator status,2,"Matched, Plant"
Matched,prime mover,2,"Matched, Generator"
Matched,unit code,2,"Matched, Generator"
Matched,virtual net metering dc capacity (mw),2,"Matched, Solar"
