Table Name,Column Name,Count,Repeat Tables
Plant,time,9,"Plant, Matched, Storage, Generator, Energy Storage, Solar, Owner, Wind, Utility"
Plant,plant name,5,"Plant, Matched, Storage, Generator, Energy Storage"
Plant,utility id,5,"Plant, Matched, Generator, Owner, Utility"
Plant,plant code,5,"Plant, Matched, Generator, Solar, Wind"
Plant,state,4,"Matched, Utility, Plant, Generator"
Plant,utility name,4,"Matched, Utility, Plant, Generator"
Plant,zip,3,"Matched, Utility, Plant"
Plant,county,3,"Matched, Plant, Generator"
Plant,sector,3,"Matched, Plant, Generator"
Plant,sector name,3,"Matched, Plant, Generator"
Plant,latitude,2,"Matched, Plant"
Plant,longitude,2,"Matched, Plant"
Plant,ferc cogeneration status,2,"Matched, Plant"
Plant,ferc cogeneration docket number,2,"Matched, Plant"
Plant,ferc small power producer status,2,"Matched, Plant"
Plant,ferc small power producer docket number,2,"Matched, Plant"
Plant,ferc exempt wholesale generator status,2,"Matched, Plant"
Plant,ferc exempt wholesale generator docket number,2,"Matched, Plant"
Plant,nerc region,2,"Matched, Plant"
